,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,ACM+MDM(Grid),ACM+MDM(Grid),0.001953125,0.0,9
1,001-2014,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.001953125,2.2653234447798347,9
2,001-2014,2,CSP+LDA,ACM+MDM(Grid),0.966796875,-0.5621631211265764,9
3,001-2014,3,Cov+EN,ACM+MDM(Grid),0.435546875,0.07156940669022119,9
4,001-2014,4,DeepConvNet,ACM+MDM(Grid),0.998046875,-3.3500952144077885,9
5,001-2014,5,EEGNet_8_2,ACM+MDM(Grid),0.97265625,-0.7584868945332658,9
6,001-2014,6,FgMDM,ACM+MDM(Grid),0.61328125,-0.1492526240481859,9
7,001-2014,7,MDM,ACM+MDM(Grid),0.998046875,-0.8993578621122789,9
8,001-2014,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.8828125,-0.3931273656995824,9
9,001-2014,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.533203125,-0.08915184716028464,9
10,001-2014,10,ShallowConvNet,ACM+MDM(Grid),0.63671875,-0.18925895117023492,9
11,001-2014,11,TANG+SVM,ACM+MDM(Grid),0.548828125,-0.08154526397115092,9
12,001-2014,12,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.998046875,-2.2653234447798347,9
13,001-2014,13,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.001953125,0.0,9
14,001-2014,14,CSP+LDA,ACM+TGSP+SVM(Grid),0.998046875,-1.1760296367420966,9
15,001-2014,15,Cov+EN,ACM+TGSP+SVM(Grid),0.99609375,-0.6132604707431641,9
16,001-2014,16,DeepConvNet,ACM+TGSP+SVM(Grid),0.998046875,-3.9359442506943423,9
17,001-2014,17,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.99609375,-1.1259974148666207,9
18,001-2014,18,FgMDM,ACM+TGSP+SVM(Grid),0.99609375,-0.7788944611857463,9
19,001-2014,19,MDM,ACM+TGSP+SVM(Grid),0.998046875,-1.528118552278774,9
20,001-2014,20,ACM+MDM(MDOP),ACM+TGSP+SVM(Grid),0.998046875,-1.1730196827578643,9
21,001-2014,21,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(Grid),0.998046875,-0.7429824366911264,9
22,001-2014,22,ShallowConvNet,ACM+TGSP+SVM(Grid),0.990234375,-0.6960215061798928,9
23,001-2014,23,TANG+SVM,ACM+TGSP+SVM(Grid),0.998046875,-0.7827311342391798,9
24,001-2014,24,ACM+MDM(Grid),CSP+LDA,0.03515625,0.5621631211265764,9
25,001-2014,25,ACM+TGSP+SVM(Grid),CSP+LDA,0.001953125,1.1760296367420966,9
26,001-2014,26,CSP+LDA,CSP+LDA,0.001953125,0.0,9
27,001-2014,27,Cov+EN,CSP+LDA,0.001953125,1.4738182966887332,9
28,001-2014,28,DeepConvNet,CSP+LDA,0.998046875,-2.3625325850428154,9
29,001-2014,29,EEGNet_8_2,CSP+LDA,0.96875,-0.6768518170899189,9
30,001-2014,30,FgMDM,CSP+LDA,0.0234375,0.7696358960928555,9
31,001-2014,31,MDM,CSP+LDA,0.923828125,-0.5372085007503369,9
32,001-2014,32,ACM+MDM(MDOP),CSP+LDA,0.0546875,0.5784209907654088,9
33,001-2014,33,ACM+TGSP+SVM(MDOP),CSP+LDA,0.001953125,1.9747707619706056,9
34,001-2014,34,ShallowConvNet,CSP+LDA,0.06640625,0.5562707212896476,9
35,001-2014,35,TANG+SVM,CSP+LDA,0.00390625,1.2602884539675674,9
36,001-2014,36,ACM+MDM(Grid),Cov+EN,0.56640625,-0.07156940669022119,9
37,001-2014,37,ACM+TGSP+SVM(Grid),Cov+EN,0.005859375,0.6132604707431641,9
