,pipeline,score,std
0,ACM+MDM(Grid),0.7833920611111111,0.12353182371480796
1,ACM+TGSP+SVM(Grid),0.8361639672222222,0.11046236582471626
2,CSP+LDA,0.7396993105555556,0.15873308072533165
3,Cov+EN,0.7888712761111111,0.13535354881173423
4,DeepConvNet,0.484472635,0.10047135605030984
5,EEGNet_8_2,0.672515855,0.1982972468364347
6,FgMDM,0.7705954866666667,0.1393047254368773
7,MDM,0.7216878033333334,0.14483869017633408
8,ACM+MDM(MDOP),0.759484381111111,0.13692345865356578
9,ACM+TGSP+SVM(MDOP),0.7764681783333334,0.15048995386913386
10,ShallowConvNet,0.7641649072222223,0.1615338050963487
11,TANG+SVM,0.7772903538888889,0.14059703338392537
