,Unnamed: 0.1,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0,0.9075053,0.912344,0.9085714,0.9065448,125.48967,216.0,3.194769,1,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,1,0.879704,0.8890059,0.88,0.87953323,124.58771,216.0,3.0431566,1,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,2,0.9077167,0.9127618,0.9088889,0.9075095,0.54249036,216.0,0.016773477,1,session_E,22,2,001-2014,Cov+EN
3,3,3,0.8612051,0.86597824,0.8606349,0.86026263,0.48683676,216.0,0.010302603,1,session_T,22,2,001-2014,Cov+EN
4,4,4,0.9029598,0.9067487,0.90380955,0.90265626,3.974823,216.0,0.116563596,1,session_E,22,2,001-2014,CSP+LDA
5,5,5,0.83773786,0.85074615,0.83746034,0.83862907,4.0439076,216.0,0.091583766,1,session_T,22,2,001-2014,CSP+LDA
6,6,6,0.92135304,0.93059593,0.9234921,0.9201843,699.56085,216.0,20.231888,1,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,7,0.8890063,0.8959183,0.88920635,0.88780856,694.29614,216.0,20.030497,1,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,8,0.8799154,0.8843491,0.88095236,0.87936497,0.25877762,216.0,0.0059611467,1,session_E,22,2,001-2014,FgMDM
9,9,9,0.82399577,0.8345051,0.8238095,0.82311565,0.42189154,216.0,0.008487769,1,session_T,22,2,001-2014,FgMDM
10,10,10,0.87515855,0.8876241,0.8755556,0.8731993,0.12611528,216.0,0.0025096256,1,session_E,22,2,001-2014,MDM
11,11,11,0.810148,0.8292692,0.8104762,0.8080807,0.13684969,216.0,0.002548799,1,session_T,22,2,001-2014,MDM
12,12,12,0.8984144,0.9037898,0.89936507,0.8983624,0.5267286,216.0,0.015854686,1,session_E,22,2,001-2014,TANG+SVM
13,13,13,0.8285412,0.8457478,0.828254,0.82643443,0.5115865,216.0,0.010821353,1,session_T,22,2,001-2014,TANG+SVM
14,0,0,0.606871,0.6066834,0.6085714,0.6003958,145.07915,216.0,4.8431826,2,session_E,22,2,001-2014,ACM+MDM(Grid)
15,1,1,0.68520087,0.6817843,0.6857143,0.6818682,128.31049,216.0,3.1968446,2,session_T,22,2,001-2014,ACM+MDM(Grid)
16,2,2,0.72653276,0.73954666,0.7285714,0.7228433,0.53884095,216.0,0.013254961,2,session_E,22,2,001-2014,Cov+EN
17,3,3,0.6808668,0.68599266,0.68190473,0.6777091,0.5207855,216.0,0.01677334,2,session_T,22,2,001-2014,Cov+EN
18,4,4,0.5743129,0.5690764,0.5752381,0.5661043,4.2838583,216.0,0.0988863,2,session_E,22,2,001-2014,CSP+LDA
19,5,5,0.6433404,0.6391523,0.6450794,0.63736254,4.0775194,216.0,0.124809645,2,session_T,22,2,001-2014,CSP+LDA
20,6,6,0.6947146,0.6880718,0.6936508,0.68834776,753.4965,216.0,20.130123,2,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
21,7,7,0.69460887,0.6963315,0.6968254,0.691787,736.97595,216.0,20.915455,2,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
22,8,8,0.7125793,0.72191435,0.7126984,0.70830125,0.19591136,216.0,0.0065960954,2,session_E,22,2,001-2014,FgMDM
23,9,9,0.6989429,0.69896173,0.7009524,0.69450337,0.18545151,216.0,0.004505052,2,session_T,22,2,001-2014,FgMDM
