,pipeline,score,std
0,ACM+MDM(Grid),0.7851824896296296,0.1028679618340964
1,ACM+TGSP+SVM(Grid),0.8382586092592592,0.09155946671878853
2,CSP+LDA,0.7644972818518518,0.1369353102603016
3,Cov+EN,0.8038982296296296,0.11564850882455875
4,DeepConvNet,0.5068955811111111,0.0932829739543201
5,EEGNet_8_2,0.7283305666666666,0.18091329510292542
6,FgMDM,0.7841424825925926,0.11955716252729179
7,MDM,0.730656532962963,0.1242385505694418
8,ACM+MDM(MDOP),0.7694106029629629,0.11599244298813771
9,ACM+TGSP+SVM(MDOP),0.7915440444444444,0.12555112212614583
10,ShallowConvNet,0.7945740859259259,0.13992920235728987
11,TANG+SVM,0.7940845992592592,0.11936282404846517
