,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.75968254,0.7639641,0.760101,0.7574413,80.619,179.0,1.0043634,1,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1,0.74666667,0.76668555,0.74666667,0.7405608,67.894966,150.0,0.84335023,1,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,2,0.81333333,0.8161953,0.81333333,0.8132422,66.94012,150.0,0.83386385,1,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.8150794,0.82052946,0.8146465,0.81549865,0.5620526,179.0,0.006477481,1,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.74666667,0.76972824,0.74666667,0.74595845,0.47495407,150.0,0.0053974153,1,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.86,0.8667677,0.86,0.85984254,0.4727704,150.0,0.005360436,1,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.7652381,0.7734239,0.7651515,0.761938,2.3735569,179.0,0.027306633,1,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.74666667,0.7664454,0.74666667,0.7427492,2.0933914,150.0,0.023396172,1,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.82,0.8248848,0.82,0.8194525,1.9804502,150.0,0.022163806,1,session_2,14,3,Zhou 2016,CSP+LDA
9,9,0.82666665,0.8306419,0.82626265,0.82460755,347.17633,179.0,4.520494,1,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.8066667,0.82032764,0.8066667,0.8046622,284.60483,150.0,3.6865065,1,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.87333333,0.8845144,0.87333333,0.8738122,287.23956,150.0,3.7226613,1,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.7430159,0.7496329,0.7419192,0.7396917,0.22492819,179.0,0.0029123044,1,session_0,14,3,Zhou 2016,FgMDM
13,13,0.7266667,0.75205386,0.7266667,0.7273424,0.16519384,150.0,0.002124782,1,session_1,14,3,Zhou 2016,FgMDM
14,14,0.79333335,0.80170774,0.79333335,0.79079574,0.18059973,150.0,0.0023358962,1,session_2,14,3,Zhou 2016,FgMDM
15,15,0.7315873,0.73795056,0.7318182,0.7311954,0.16039619,179.0,0.001513012,1,session_0,14,3,Zhou 2016,MDM
16,16,0.68,0.70337456,0.68,0.66722566,0.05543361,150.0,0.0005268032,1,session_1,14,3,Zhou 2016,MDM
17,17,0.78,0.7915152,0.78,0.78040403,0.052717827,150.0,0.00050237577,1,session_2,14,3,Zhou 2016,MDM
18,18,0.78174603,0.79302734,0.7813131,0.78312683,0.58652395,179.0,0.006518997,1,session_0,14,3,Zhou 2016,TANG+SVM
19,19,0.75333333,0.769771,0.75333333,0.75331753,0.5249375,150.0,0.0058439164,1,session_1,14,3,Zhou 2016,TANG+SVM
20,20,0.84,0.84806156,0.84,0.83750415,0.5132061,150.0,0.0056983493,1,session_2,14,3,Zhou 2016,TANG+SVM
0,0,0.8466667,0.85353976,0.8466667,0.84488076,45.37558,150.0,2.988535,2,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
