,pipeline,score,std
0,ACM+MDM(Grid),0.7887633466666667,0.04406282109543203
1,ACM+TGSP+SVM(Grid),0.8424478933333334,0.03586733497599976
2,CSP+LDA,0.8140932244444445,0.056999218168473614
3,Cov+EN,0.8339521366666667,0.05488100708071694
4,DeepConvNet,0.5517414733333333,0.058616952259485426
5,EEGNet_8_2,0.8399599900000001,0.04224087348927429
6,FgMDM,0.8112364744444445,0.06308024907007727
7,MDM,0.7485939922222222,0.07101215627483118
8,ACM+MDM(MDOP),0.7892630466666666,0.056759618184407064
9,ACM+TGSP+SVM(MDOP),0.8216957766666666,0.03962974163334776
10,ShallowConvNet,0.8553924433333333,0.044110727437069674
11,TANG+SVM,0.82767309,0.048933780202259546
