,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.8935185,0.89474463,0.8935185,0.892123,174.41861,216.0,1.1403931,1,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.8101852,0.84302276,0.8101852,0.8069732,338.54944,216.0,2.2243505,1,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.8333333,0.86002403,0.8333333,0.8249119,0.96852016,216.0,0.005629618,1,session_E,22,2,001-2014,Cov+EN
3,3,0.8009259,0.8498677,0.8009259,0.8003863,2.1332202,216.0,0.012309768,1,session_T,22,2,001-2014,Cov+EN
4,4,0.8564815,0.8672286,0.8564815,0.8523227,3.9550016,216.0,0.023786463,1,session_E,22,2,001-2014,CSP+LDA
5,5,0.8055556,0.84378916,0.8055556,0.80041724,5.438196,216.0,0.032557476,1,session_T,22,2,001-2014,CSP+LDA
6,6,0.9074074,0.9093915,0.9074074,0.90600944,857.0971,216.0,5.7368603,1,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.8564815,0.889107,0.8564815,0.8563133,1709.6495,216.0,11.444161,1,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.8842593,0.88392276,0.8842593,0.88353896,0.7470279,216.0,0.0045486805,1,session_E,22,2,001-2014,FgMDM
9,9,0.7546296,0.84508604,0.7546296,0.73979586,1.4602494,216.0,0.008883766,1,session_T,22,2,001-2014,FgMDM
10,10,0.8564815,0.86720157,0.8564815,0.85416085,0.43423152,216.0,0.0025655937,1,session_E,22,2,001-2014,MDM
11,11,0.7731481,0.8149721,0.7731481,0.7608752,0.82492065,216.0,0.0048255483,1,session_T,22,2,001-2014,MDM
12,12,0.8611111,0.86415637,0.8611111,0.8592912,0.8704443,216.0,0.0049463348,1,session_E,22,2,001-2014,TANG+SVM
13,13,0.8240741,0.87226033,0.8240741,0.82222277,1.7121422,216.0,0.009775724,1,session_T,22,2,001-2014,TANG+SVM
0,0,0.6064815,0.5927844,0.6064815,0.5730965,166.99503,216.0,1.1015544,2,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.6388889,0.8015444,0.6388889,0.5423568,333.04318,216.0,2.1981685,2,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.6064815,0.6486598,0.6064815,0.5208259,0.9882555,216.0,0.004355387,2,session_E,22,2,001-2014,Cov+EN
3,3,0.5925926,0.4624961,0.5925926,0.49580246,2.0440004,216.0,0.008934084,2,session_T,22,2,001-2014,Cov+EN
4,4,0.5787037,0.58597064,0.5787037,0.5442676,3.4485939,216.0,0.017584857,2,session_E,22,2,001-2014,CSP+LDA
5,5,0.6018519,0.5772468,0.6018519,0.55340934,4.9913616,216.0,0.024411011,2,session_T,22,2,001-2014,CSP+LDA
6,6,0.6342593,0.65047073,0.6342593,0.59467626,758.33136,216.0,4.3288126,2,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.6296296,0.8013653,0.6296296,0.5426837,1556.2579,216.0,8.973686,2,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.5324074,0.5391908,0.5324074,0.48314658,0.7481272,216.0,0.0045503946,2,session_E,22,2,001-2014,FgMDM
9,9,0.5787037,0.5578119,0.5787037,0.49732047,1.5358517,216.0,0.009395923,2,session_T,22,2,001-2014,FgMDM
10,10,0.625,0.6110947,0.625,0.5982979,0.48141503,216.0,0.0028606518,2,session_E,22,2,001-2014,MDM
11,11,0.6296296,0.45814535,0.6296296,0.5187829,0.8406024,216.0,0.0049641407,2,session_T,22,2,001-2014,MDM
