,pipeline,score,std
0,ACM+MDM(Grid),0.7281378555555555,0.11490224387124616
1,ACM+TGSP+SVM(Grid),0.7572016555555555,0.11426866064631978
2,CSP+LDA,0.6556070055555555,0.16173048330537068
3,Cov+EN,0.6962448477777777,0.11492785788104143
4,DeepConvNet,0.4112654272222222,0.1026686585792882
5,EEGNet_8_2,0.6648662616666666,0.2076218724166412
6,FgMDM,0.69007202,0.1297703121719707
7,MDM,0.6638374422222222,0.1328207716472074
8,ACM+MDM(MDOP),0.7011316944444445,0.12553065007403558
9,ACM+TGSP+SVM(MDOP),0.7139917588888889,0.1417422537080385
10,ShallowConvNet,0.7628600799999999,0.15495784346636657
11,TANG+SVM,0.6725823027777778,0.1470188180022549
