,pipeline,score,std
0,ACM+MDM(Grid),0.7259617388888889,0.10215759829226374
1,ACM+TGSP+SVM(Grid),0.7661974355555555,0.09928767825519551
2,CSP+LDA,0.680806927037037,0.15230491455314954
3,Cov+EN,0.7118220048148148,0.11070751232462989
4,DeepConvNet,0.5017056185185185,0.16932674380329044
5,EEGNet_8_2,0.722504475925926,0.1916332816442963
6,FgMDM,0.7014628837037037,0.11919475653255578
7,MDM,0.6750739596296297,0.11948885851409895
8,ACM+MDM(MDOP),0.7069338011111111,0.11248767574371114
9,ACM+TGSP+SVM(MDOP),0.7285710674074074,0.12904271225424366
10,ShallowConvNet,0.7948750811111112,0.13604750552633593
11,TANG+SVM,0.6916759496296296,0.1335139599527801
