,dataset,index,pipe1,pipe2,p,smd,nsub
0,Zhou 2016,0,ACM+MDM(Grid),ACM+MDM(Grid),0.125,0.0,3
1,Zhou 2016,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.125,1.1498568998422802,3
2,Zhou 2016,2,CSP+LDA,ACM+MDM(Grid),0.375,0.12583994225410747,3
3,Zhou 2016,3,Cov+EN,ACM+MDM(Grid),0.375,0.2783594957118276,3
4,Zhou 2016,4,DeepConvNet,ACM+MDM(Grid),0.75,-0.48013667986202835,3
5,Zhou 2016,5,EEGNet_8_2,ACM+MDM(Grid),0.125,1.1804516111473173,3
6,Zhou 2016,6,FgMDM,ACM+MDM(Grid),0.5,0.035234047002566965,3
7,Zhou 2016,7,MDM,ACM+MDM(Grid),0.875,-0.8420420194467818,3
8,Zhou 2016,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.75,-0.1304219290426496,3
9,Zhou 2016,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.25,0.7038203802016963,3
10,Zhou 2016,10,ShallowConvNet,ACM+MDM(Grid),0.125,1.4579592393397969,3
11,Zhou 2016,11,TANG+SVM,ACM+MDM(Grid),0.375,0.12697071635181717,3
12,Zhou 2016,12,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.875,-1.1498568998422802,3
13,Zhou 2016,13,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.125,0.0,3
14,Zhou 2016,14,CSP+LDA,ACM+TGSP+SVM(Grid),0.75,-0.49600750636609103,3
15,Zhou 2016,15,Cov+EN,ACM+TGSP+SVM(Grid),0.875,-0.7401834289659439,3
16,Zhou 2016,16,DeepConvNet,ACM+TGSP+SVM(Grid),0.875,-3.4066409828775837,3
17,Zhou 2016,17,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.25,0.7632632169970729,3
18,Zhou 2016,18,FgMDM,ACM+TGSP+SVM(Grid),0.875,-1.4145151124651403,3
19,Zhou 2016,19,MDM,ACM+TGSP+SVM(Grid),0.875,-1.1364222168965288,3
20,Zhou 2016,20,ACM+MDM(MDOP),ACM+TGSP+SVM(Grid),0.875,-0.9695681673888048,3
21,Zhou 2016,21,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(Grid),0.875,-0.6276009491410479,3
22,Zhou 2016,22,ShallowConvNet,ACM+TGSP+SVM(Grid),0.125,1.8120400589766013,3
23,Zhou 2016,23,TANG+SVM,ACM+TGSP+SVM(Grid),0.875,-1.075082505427861,3
24,Zhou 2016,24,ACM+MDM(Grid),CSP+LDA,0.75,-0.12583994225410747,3
25,Zhou 2016,25,ACM+TGSP+SVM(Grid),CSP+LDA,0.375,0.49600750636609103,3
26,Zhou 2016,26,CSP+LDA,CSP+LDA,0.125,0.0,3
27,Zhou 2016,27,Cov+EN,CSP+LDA,0.375,0.14931754737130015,3
28,Zhou 2016,28,DeepConvNet,CSP+LDA,0.875,-0.4110161030815699,3
29,Zhou 2016,29,EEGNet_8_2,CSP+LDA,0.25,0.6279550871538383,3
30,Zhou 2016,30,FgMDM,CSP+LDA,0.625,-0.0760389365403836,3
31,Zhou 2016,31,MDM,CSP+LDA,0.875,-0.6598711461256668,3
32,Zhou 2016,32,ACM+MDM(MDOP),CSP+LDA,0.75,-0.23943613194122162,3
33,Zhou 2016,33,ACM+TGSP+SVM(MDOP),CSP+LDA,0.5,0.38575531003305796,3
34,Zhou 2016,34,ShallowConvNet,CSP+LDA,0.125,0.8756648290008966,3
35,Zhou 2016,35,TANG+SVM,CSP+LDA,0.625,-0.019010969062422688,3
36,Zhou 2016,36,ACM+MDM(Grid),Cov+EN,0.75,-0.2783594957118276,3
37,Zhou 2016,37,ACM+TGSP+SVM(Grid),Cov+EN,0.25,0.7401834289659439,3
38,Zhou 2016,38,CSP+LDA,Cov+EN,0.75,-0.14931754737130015,3
39,Zhou 2016,39,Cov+EN,Cov+EN,0.125,0.0,3
40,Zhou 2016,40,DeepConvNet,Cov+EN,0.875,-1.2561123053920484,3
41,Zhou 2016,41,EEGNet_8_2,Cov+EN,0.25,0.7571215041807788,3
42,Zhou 2016,42,FgMDM,Cov+EN,0.875,-1.1178780092728526,3
43,Zhou 2016,43,MDM,Cov+EN,0.875,-0.5733591360405337,3
44,Zhou 2016,44,ACM+MDM(MDOP),Cov+EN,0.875,-0.34216046596818755,3
45,Zhou 2016,45,ACM+TGSP+SVM(MDOP),Cov+EN,0.25,0.5798490890762524,3
46,Zhou 2016,46,ShallowConvNet,Cov+EN,0.125,1.4353635403322718,3
47,Zhou 2016,47,TANG+SVM,Cov+EN,0.875,-1.0760073439217588,3
48,Zhou 2016,48,ACM+MDM(Grid),DeepConvNet,0.375,0.48013667986202835,3
49,Zhou 2016,49,ACM+TGSP+SVM(Grid),DeepConvNet,0.125,3.4066409828775837,3
50,Zhou 2016,50,CSP+LDA,DeepConvNet,0.25,0.4110161030815699,3
51,Zhou 2016,51,Cov+EN,DeepConvNet,0.125,1.2561123053920484,3
52,Zhou 2016,52,DeepConvNet,DeepConvNet,0.125,0.0,3
53,Zhou 2016,53,EEGNet_8_2,DeepConvNet,0.125,1.8365366643099368,3
54,Zhou 2016,54,FgMDM,DeepConvNet,0.125,1.330022812812697,3
55,Zhou 2016,55,MDM,DeepConvNet,0.375,0.15175191724702652,3
56,Zhou 2016,56,ACM+MDM(MDOP),DeepConvNet,0.375,0.40071939799975675,3
57,Zhou 2016,57,ACM+TGSP+SVM(MDOP),DeepConvNet,0.125,1.5140604906151964,3
58,Zhou 2016,58,ShallowConvNet,DeepConvNet,0.125,5.343835216851096,3
59,Zhou 2016,59,TANG+SVM,DeepConvNet,0.25,0.9471310888401949,3
60,Zhou 2016,60,ACM+MDM(Grid),EEGNet_8_2,0.875,-1.1804516111473173,3
61,Zhou 2016,61,ACM+TGSP+SVM(Grid),EEGNet_8_2,0.875,-0.7632632169970729,3
62,Zhou 2016,62,CSP+LDA,EEGNet_8_2,0.875,-0.6279550871538383,3
63,Zhou 2016,63,Cov+EN,EEGNet_8_2,0.875,-0.7571215041807788,3
64,Zhou 2016,64,DeepConvNet,EEGNet_8_2,0.875,-1.8365366643099368,3
65,Zhou 2016,65,EEGNet_8_2,EEGNet_8_2,0.125,0.0,3
66,Zhou 2016,66,FgMDM,EEGNet_8_2,0.875,-1.0295000829506973,3
67,Zhou 2016,67,MDM,EEGNet_8_2,0.875,-1.1051069352583445,3
68,Zhou 2016,68,ACM+MDM(MDOP),EEGNet_8_2,0.875,-0.9884301313001483,3
69,Zhou 2016,69,ACM+TGSP+SVM(MDOP),EEGNet_8_2,0.875,-0.7171962873858394,3
70,Zhou 2016,70,ShallowConvNet,EEGNet_8_2,0.375,0.3626818755207478,3
71,Zhou 2016,71,TANG+SVM,EEGNet_8_2,0.875,-0.8937584234769272,3
72,Zhou 2016,72,ACM+MDM(Grid),FgMDM,0.625,-0.035234047002566965,3
73,Zhou 2016,73,ACM+TGSP+SVM(Grid),FgMDM,0.125,1.4145151124651403,3
74,Zhou 2016,74,CSP+LDA,FgMDM,0.5,0.0760389365403836,3
75,Zhou 2016,75,Cov+EN,FgMDM,0.125,1.1178780092728526,3
76,Zhou 2016,76,DeepConvNet,FgMDM,0.875,-1.330022812812697,3
77,Zhou 2016,77,EEGNet_8_2,FgMDM,0.25,1.0295000829506973,3
78,Zhou 2016,78,FgMDM,FgMDM,0.125,0.0,3
79,Zhou 2016,79,MDM,FgMDM,0.75,-0.32072878810378774,3
80,Zhou 2016,80,ACM+MDM(MDOP),FgMDM,0.625,-0.07637711497032881,3
81,Zhou 2016,81,ACM+TGSP+SVM(MDOP),FgMDM,0.125,1.2244263902618915,3
82,Zhou 2016,82,ShallowConvNet,FgMDM,0.125,2.1023790037336125,3
83,Zhou 2016,83,TANG+SVM,FgMDM,0.375,0.2688800292732351,3
84,Zhou 2016,84,ACM+MDM(Grid),MDM,0.125,0.8420420194467818,3
85,Zhou 2016,85,ACM+TGSP+SVM(Grid),MDM,0.125,1.1364222168965288,3
86,Zhou 2016,86,CSP+LDA,MDM,0.25,0.6598711461256668,3
87,Zhou 2016,87,Cov+EN,MDM,0.25,0.5733591360405337,3
88,Zhou 2016,88,DeepConvNet,MDM,0.75,-0.15175191724702652,3
89,Zhou 2016,89,EEGNet_8_2,MDM,0.125,1.1051069352583445,3
90,Zhou 2016,90,FgMDM,MDM,0.375,0.32072878810378774,3
91,Zhou 2016,91,MDM,MDM,0.125,0.0,3
92,Zhou 2016,92,ACM+MDM(MDOP),MDM,0.125,2.3649339748922498,3
93,Zhou 2016,93,ACM+TGSP+SVM(MDOP),MDM,0.25,1.0736907846692967,3
94,Zhou 2016,94,ShallowConvNet,MDM,0.125,1.3743089677355482,3
95,Zhou 2016,95,TANG+SVM,MDM,0.25,0.4812292444293126,3
96,Zhou 2016,96,ACM+MDM(Grid),ACM+MDM(MDOP),0.375,0.1304219290426496,3
97,Zhou 2016,97,ACM+TGSP+SVM(Grid),ACM+MDM(MDOP),0.125,0.9695681673888048,3
98,Zhou 2016,98,CSP+LDA,ACM+MDM(MDOP),0.375,0.23943613194122162,3
99,Zhou 2016,99,Cov+EN,ACM+MDM(MDOP),0.25,0.34216046596818755,3
100,Zhou 2016,100,DeepConvNet,ACM+MDM(MDOP),0.75,-0.40071939799975675,3
101,Zhou 2016,101,EEGNet_8_2,ACM+MDM(MDOP),0.125,0.9884301313001483,3
102,Zhou 2016,102,FgMDM,ACM+MDM(MDOP),0.5,0.07637711497032881,3
103,Zhou 2016,103,MDM,ACM+MDM(MDOP),0.875,-2.3649339748922498,3
104,Zhou 2016,104,ACM+MDM(MDOP),ACM+MDM(MDOP),0.125,0.0,3
105,Zhou 2016,105,ACM+TGSP+SVM(MDOP),ACM+MDM(MDOP),0.25,0.8220229464401445,3
106,Zhou 2016,106,ShallowConvNet,ACM+MDM(MDOP),0.125,1.2886093914748873,3
107,Zhou 2016,107,TANG+SVM,ACM+MDM(MDOP),0.5,0.19108341991492184,3
108,Zhou 2016,108,ACM+MDM(Grid),ACM+TGSP+SVM(MDOP),0.875,-0.7038203802016963,3
109,Zhou 2016,109,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(MDOP),0.25,0.6276009491410479,3
110,Zhou 2016,110,CSP+LDA,ACM+TGSP+SVM(MDOP),0.625,-0.38575531003305796,3
111,Zhou 2016,111,Cov+EN,ACM+TGSP+SVM(MDOP),0.875,-0.5798490890762524,3
