,pipeline,score,std
0,ACM+MDM(Grid),0.7216095055555556,0.0763559878092349
1,ACM+TGSP+SVM(Grid),0.7841889955555555,0.06120116886544103
2,CSP+LDA,0.73120677,0.12457918099824832
3,Cov+EN,0.7429763188888888,0.10063174838764596
4,DeepConvNet,0.6825860011111111,0.1247881047637757
5,EEGNet_8_2,0.8377809044444445,0.07296662418321204
6,FgMDM,0.7242446111111112,0.09753196081680808
7,MDM,0.6975469944444445,0.08978877372172668
8,ACM+MDM(MDOP),0.7185380144444444,0.08608678568598378
9,ACM+TGSP+SVM(MDOP),0.7577296844444444,0.0999561117296126
10,ShallowConvNet,0.8589050833333334,0.04701236072420209
11,TANG+SVM,0.7298632433333334,0.09768682086024284
