,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.6815643,0.7603014,0.6822975,0.6593185,102.54497,300.0,1.40872,1,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,0.7,0.7893004,0.7,0.6843382,207.37357,329.0,2.8545883,1,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,0.54,0.5986735,0.54,0.5028914,285.47516,329.0,3.8938212,1,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,0.6927374,0.7577963,0.69293785,0.68330497,0.92902064,300.0,0.011386704,1,session_0,14,3,Zhou 2016,Cov+EN
4,0.58666664,0.7282663,0.58666664,0.4791902,2.2250764,329.0,0.027078282,1,session_1,14,3,Zhou 2016,Cov+EN
5,0.73333335,0.7857072,0.73333335,0.731737,3.3356285,329.0,0.040686607,1,session_2,14,3,Zhou 2016,Cov+EN
6,0.5642458,0.6904762,0.56478345,0.5212157,3.5055919,300.0,0.04375819,1,session_0,14,3,Zhou 2016,CSP+LDA
7,0.6,0.7285396,0.6,0.507405,4.5570784,329.0,0.056696016,1,session_1,14,3,Zhou 2016,CSP+LDA
8,0.56666666,0.6208792,0.56666666,0.5517648,5.3224287,329.0,0.06598585,1,session_2,14,3,Zhou 2016,CSP+LDA
9,0.7318436,0.78567606,0.7323917,0.7356025,489.25403,300.0,6.634229,1,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,0.67333335,0.7593464,0.67333335,0.6406268,1044.8162,329.0,14.459515,1,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,0.85333335,0.8590623,0.85333335,0.8545067,1603.9619,329.0,22.308668,1,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,0.66480446,0.7389258,0.66525424,0.6555049,0.71947336,300.0,0.009142795,1,session_0,14,3,Zhou 2016,FgMDM
13,0.55333334,0.39809525,0.55333334,0.44902357,1.3782763,329.0,0.017481744,1,session_1,14,3,Zhou 2016,FgMDM
14,0.79333335,0.8079136,0.79333335,0.79458857,2.0728793,329.0,0.026247354,1,session_2,14,3,Zhou 2016,FgMDM
15,0.6256983,0.7074561,0.62636536,0.60102516,0.39984822,300.0,0.0050751264,1,session_0,14,3,Zhou 2016,MDM
16,0.58666664,0.72678506,0.58666664,0.53908646,0.6943419,329.0,0.00873977,1,session_1,14,3,Zhou 2016,MDM
17,0.54,0.5933224,0.54,0.50196457,0.98794246,329.0,0.012414574,1,session_2,14,3,Zhou 2016,MDM
18,0.6256983,0.699312,0.6255179,0.60781795,0.9116509,300.0,0.011570474,1,session_0,14,3,Zhou 2016,TANG+SVM
19,0.58,0.38705653,0.58,0.4639631,1.691195,329.0,0.021305785,1,session_1,14,3,Zhou 2016,TANG+SVM
20,0.75333333,0.7909585,0.75333333,0.756033,2.5280101,329.0,0.031771634,1,session_2,14,3,Zhou 2016,TANG+SVM
