,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.98755103,0.93363094,0.93142855,0.9307297,142.28918,144.0,1.8118602,1,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.96435374,0.8965759,0.88857144,0.888257,136.22919,144.0,1.7483846,1,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9846939,0.9464881,0.94476193,0.9442692,770.80457,144.0,10.039718,1,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
3,3,0.97591835,0.90024215,0.89619046,0.8959157,758.0974,144.0,9.881098,1,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
4,4,0.9669388,0.9102318,0.8952381,0.8937097,0.16572389,144.0,0.0021099332,1,session_E,22,2,001-2014,MDM
5,5,0.95863944,0.86572236,0.84761906,0.8452984,0.18604946,144.0,0.002346068,1,session_T,22,2,001-2014,MDM
6,6,0.95612246,0.8991386,0.89619046,0.8957114,0.49338394,144.0,0.006044683,1,session_E,22,2,001-2014,TANG+SVM
7,7,0.95639455,0.869884,0.8466667,0.84344363,0.076128915,144.0,0.0007231577,1,session_T,22,2,001-2014,TANG+SVM
0,0,0.5736054,0.5223339,0.52190477,0.5161015,151.86902,144.0,1.9659631,2,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.66585034,0.65015906,0.64809525,0.64466727,141.47281,144.0,1.8456233,2,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.7380272,0.6690991,0.6661905,0.66513234,797.9695,144.0,10.608409,2,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
3,3,0.63265306,0.6037016,0.5995238,0.5947193,764.3417,144.0,10.162019,2,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
4,4,0.569932,0.5731838,0.5719048,0.5665149,0.18656997,144.0,0.0024192045,2,session_E,22,2,001-2014,MDM
5,5,0.6782313,0.64953077,0.6471428,0.6445904,0.18515053,144.0,0.0024062467,2,session_T,22,2,001-2014,MDM
6,6,0.70462584,0.66943747,0.66190475,0.656896,0.5012113,144.0,0.006286163,2,session_E,22,2,001-2014,TANG+SVM
7,7,0.662449,0.6471967,0.63285714,0.62866956,0.07778506,144.0,0.0007689905,2,session_T,22,2,001-2014,TANG+SVM
0,0,0.9980952,0.9683333,0.96666664,0.9654844,144.28793,144.0,1.8862112,3,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.9942177,0.96061623,0.95809525,0.9579789,141.69283,144.0,1.853897,3,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.99904764,0.98,0.98,0.97931033,796.87885,144.0,10.609056,3,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
3,3,0.99326533,0.97375,0.97238094,0.9721254,802.09796,144.0,10.6506,3,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
4,4,0.99523807,0.96318626,0.96,0.9585054,0.19204183,144.0,0.0024780806,3,session_E,22,2,001-2014,MDM
5,5,0.99333334,0.9682353,0.9652381,0.9651126,0.17209291,144.0,0.002210944,3,session_T,22,2,001-2014,MDM
6,6,0.9980952,0.9741667,0.97333336,0.9723974,0.50658953,144.0,0.0063445307,3,session_E,22,2,001-2014,TANG+SVM
7,7,0.99333334,0.95666665,0.9514286,0.95106745,0.07755709,144.0,0.000757671,3,session_T,22,2,001-2014,TANG+SVM
0,0,0.8937415,0.81777054,0.8138095,0.8114987,137.22423,144.0,1.8555658,4,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.8216326,0.7379542,0.7290476,0.72739625,136.28783,144.0,1.8496131,4,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9459184,0.8589914,0.85380954,0.85314727,759.3455,144.0,10.449511,4,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
3,3,0.837483,0.76787573,0.7647619,0.7631938,760.64496,144.0,10.460063,4,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
4,4,0.81687075,0.7517949,0.7504762,0.7497057,0.17794247,144.0,0.0023535313,4,session_E,22,2,001-2014,MDM
5,5,0.7769388,0.7200294,0.7157143,0.71449256,0.18558565,144.0,0.0024538569,4,session_T,22,2,001-2014,MDM
6,6,0.90217686,0.845671,0.83190477,0.83104205,0.50353605,144.0,0.006421386,4,session_E,22,2,001-2014,TANG+SVM
7,7,0.7903401,0.69164515,0.68904763,0.686921,0.07889032,144.0,0.0007829016,4,session_T,22,2,001-2014,TANG+SVM
0,0,0.9437415,0.86386925,0.85571426,0.8536659,135.91882,144.0,1.8282157,5,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.94081634,0.85762364,0.8314286,0.8296244,136.41595,144.0,1.8357389,5,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9559864,0.8757361,0.86904764,0.8679203,760.06366,144.0,10.372185,5,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
3,3,0.9510204,0.88435435,0.87333333,0.8739622,757.0176,144.0,10.333176,5,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
4,4,0.7151701,0.66514206,0.65619045,0.64968747,0.21970944,144.0,0.002950233,5,session_E,22,2,001-2014,MDM
5,5,0.64646256,0.61107534,0.60190475,0.5977228,0.211627,144.0,0.0028170564,5,session_T,22,2,001-2014,MDM
6,6,0.6884354,0.5997832,0.5985714,0.5961826,0.4914671,144.0,0.006349797,5,session_E,22,2,001-2014,TANG+SVM
7,7,0.6780272,0.6290991,0.622381,0.6168794,0.07544603,144.0,0.0007526556,5,session_T,22,2,001-2014,TANG+SVM
0,0,0.66612244,0.5727667,0.5704762,0.5673711,140.44041,144.0,1.8062247,6,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.8482313,0.8103052,0.80523807,0.80432296,146.08168,144.0,1.8552679,6,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.7536735,0.6531966,0.64619046,0.6430043,772.0052,144.0,10.057314,6,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
3,3,0.8920408,0.8244763,0.817619,0.8174412,783.1024,144.0,10.177733,6,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
4,4,0.6770068,0.605547,0.60380954,0.60281754,0.19168916,144.0,0.0056757457,6,session_E,22,2,001-2014,MDM
5,5,0.7497279,0.7068802,0.70047617,0.69731605,0.19653873,144.0,0.0024824603,6,session_T,22,2,001-2014,MDM
6,6,0.83428574,0.7159764,0.70714283,0.704701,0.52924585,144.0,0.0063993796,6,session_E,22,2,001-2014,TANG+SVM
7,7,0.8433333,0.75152206,0.7480952,0.7475992,0.078231096,144.0,0.00072958396,6,session_T,22,2,001-2014,TANG+SVM
0,0,0.98571426,0.9490091,0.9438095,0.9440631,138.87567,144.0,1.7334541,7,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.95292515,0.85716504,0.8457143,0.8452224,135.84573,144.0,1.6838734,7,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9844898,0.9527381,0.9519048,0.9511987,773.1285,144.0,9.781333,7,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
3,3,0.9554422,0.9036321,0.89666665,0.8955951,723.1965,144.0,9.16379,7,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
4,4,0.974898,0.91356117,0.9085714,0.9091565,0.18354788,144.0,0.0021843337,7,session_E,22,2,001-2014,MDM
5,5,0.812517,0.7200415,0.71380955,0.7127722,0.17738733,144.0,0.0020993408,7,session_T,22,2,001-2014,MDM
6,6,0.9902041,0.96218485,0.95714283,0.95782965,0.5101377,144.0,0.005823894,7,session_E,22,2,001-2014,TANG+SVM
7,7,0.8889796,0.7872137,0.7842857,0.7836764,0.07546787,144.0,0.0006921115,7,session_T,22,2,001-2014,TANG+SVM
0,0,0.99904764,0.9728571,0.97238094,0.9721419,155.91512,144.0,1.9240711,8,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.9980952,0.9870833,0.9861905,0.9861739,155.72737,144.0,1.917344,8,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,1.0,0.9866667,0.9861905,0.9859515,889.1444,144.0,11.12817,8,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
3,3,0.9980952,0.9735577,0.97190475,0.97228193,862.3139,144.0,10.875005,8,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
4,4,0.99714285,0.9603571,0.9590476,0.9583324,0.2157187,144.0,0.0026492414,8,session_E,22,2,001-2014,MDM
5,5,0.9961905,0.9545238,0.9509524,0.9510759,0.1699266,144.0,0.0021021718,8,session_T,22,2,001-2014,MDM
6,6,0.9980952,0.96666664,0.96619046,0.9652618,0.5035934,144.0,0.00595518,8,session_E,22,2,001-2014,TANG+SVM
7,7,0.9980952,0.96647435,0.9652381,0.96516293,0.07900152,144.0,0.00071233796,8,session_T,22,2,001-2014,TANG+SVM
0,0,0.95040816,0.9063678,0.90238094,0.90175265,156.15573,144.0,2.1443114,9,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.88673466,0.8264309,0.8152381,0.811593,159.30054,144.0,2.1775036,9,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9689796,0.9031868,0.9028571,0.90215474,869.46564,144.0,12.161728,9,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
3,3,0.9419728,0.8859782,0.87666667,0.87431777,865.37805,144.0,12.032471,9,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
4,4,0.942449,0.8683321,0.8604762,0.8599557,0.1698347,144.0,0.0022987754,9,session_E,22,2,001-2014,MDM
5,5,0.8295238,0.80086696,0.79333335,0.79082876,0.18784371,144.0,0.0025362528,9,session_T,22,2,001-2014,MDM
6,6,0.96435374,0.93391484,0.9304762,0.9303368,0.49323034,144.0,0.006460926,9,session_E,22,2,001-2014,TANG+SVM
7,7,0.85142857,0.78944516,0.7633333,0.7564226,0.07811203,144.0,0.0007890127,9,session_T,22,2,001-2014,TANG+SVM
0,0,0.98748296,0.91210926,0.9033333,0.9017361,122.744545,144.0,1.084104,1,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.974966,0.9000594,0.8890476,0.88800687,122.61615,144.0,1.0706688,1,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.98748296,0.93049395,0.9242857,0.92301846,127.55576,144.0,1.1096497,1,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.98183674,0.9058475,0.89619046,0.8951029,121.86395,144.0,1.0329894,1,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.5904762,0.54622656,0.54380953,0.5369295,124.24187,144.0,1.0509572,2,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.67190474,0.64091533,0.62904763,0.6230636,129.31744,144.0,1.0414963,2,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.60170066,0.5486648,0.5452381,0.53022474,128.79187,144.0,1.0757979,2,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.6802041,0.6151291,0.5661905,0.5044344,130.81483,144.0,5.140021,2,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.99904764,0.96791667,0.9657143,0.96521246,123.71043,144.0,1.0052588,3,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.9980952,0.974902,0.97238094,0.9722646,120.483986,144.0,13.05845,3,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,1.0,0.98041666,0.97952384,0.9792774,129.37683,144.0,5.0196753,3,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.99904764,0.9866667,0.9866667,0.9862069,121.37117,144.0,1.028361,3,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.852517,0.7976551,0.79285717,0.79089254,123.123314,144.0,5.0799494,4,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.82258505,0.7665988,0.76428574,0.76341116,125.87002,144.0,1.0670323,4,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.87088436,0.81438404,0.8009524,0.7967218,129.37611,144.0,1.0781825,4,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
