,pipeline,score,std
0,ACM+MDM(Grid),0.8928268977777777,0.13064911471812493
1,ACM+TGSP+SVM(Grid),0.9171504211111111,0.10667288598741058
2,CSP+LDA,0.8417573722222222,0.15049404011597217
3,Cov+EN,0.8783446627777778,0.1167159950982289
4,DeepConvNet,0.8180120894444445,0.16643959951737705
5,EEGNet_8_2,0.7572411205555556,0.21178287187504796
6,FgMDM,0.8772297872222222,0.11385327783882883
7,MDM,0.838733945,0.14303232269809799
8,ACM+MDM(MDOP),0.8618272777777778,0.1361289453278359
9,ACM+TGSP+SVM(MDOP),0.8730309838888889,0.13407042733497712
10,ShallowConvNet,0.8527399794444445,0.14959605125923986
11,TANG+SVM,0.8832426316666666,0.1149738659861326
