,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.8333333,0.7743056,0.76666665,0.7624339,7.6874604,120.0,0.06801742,6,session_0,3,5,004-2014,ACM+MDM(MDOP)
1,0.85833335,0.776627,0.7583333,0.7545817,7.9750047,120.0,0.06951683,6,session_1,3,5,004-2014,ACM+MDM(MDOP)
2,0.89375,0.79855996,0.79375,0.79285806,9.870926,160.0,0.08202493,6,session_2,3,5,004-2014,ACM+MDM(MDOP)
3,0.9664062,0.9071569,0.90625,0.90618277,9.95229,160.0,0.08282546,6,session_3,3,5,004-2014,ACM+MDM(MDOP)
4,0.95234376,0.8952778,0.8875,0.88700515,9.845668,160.0,0.08167978,6,session_4,3,5,004-2014,ACM+MDM(MDOP)
5,0.9,0.83367926,0.825,0.8232949,9.946036,120.0,0.0805566,6,session_0,3,5,004-2014,ACM+TGSP+SVM(MDOP)
6,0.8666667,0.8195349,0.80833334,0.8069696,7.9754863,120.0,0.06881272,6,session_1,3,5,004-2014,ACM+TGSP+SVM(MDOP)
7,0.86328125,0.78794116,0.7875,0.7874145,9.888931,160.0,0.08081767,6,session_2,3,5,004-2014,ACM+TGSP+SVM(MDOP)
8,0.9664062,0.90451866,0.9,0.8997296,9.976692,160.0,0.08174445,6,session_3,3,5,004-2014,ACM+TGSP+SVM(MDOP)
9,0.96171874,0.885091,0.86875,0.8670573,9.840371,160.0,0.08175886,6,session_4,3,5,004-2014,ACM+TGSP+SVM(MDOP)
