,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.8972222,0.8359685,0.825,0.82357824,6.3383627,120.0,0.101800054,1,session_0,3,5,004-2014,ACM+MDM(Grid)
1,1,0.78194445,0.73817074,0.73333335,0.7316948,6.405641,120.0,0.10256502,1,session_1,3,5,004-2014,ACM+MDM(Grid)
2,2,0.8453125,0.7970962,0.7875,0.78636885,8.149018,160.0,0.13134724,1,session_2,3,5,004-2014,ACM+MDM(Grid)
3,3,0.93671876,0.8636018,0.85625,0.855553,7.9508295,160.0,0.12855935,1,session_3,3,5,004-2014,ACM+MDM(Grid)
4,4,0.88359374,0.85174495,0.84375,0.8426199,7.9864507,160.0,0.12876555,1,session_4,3,5,004-2014,ACM+MDM(Grid)
5,5,0.8680556,0.7862288,0.775,0.7735392,0.26532403,120.0,0.00365507,1,session_0,3,5,004-2014,Cov+EN
6,6,0.69861114,0.64572537,0.64166665,0.63789976,0.25622874,120.0,0.0035405066,1,session_1,3,5,004-2014,Cov+EN
7,7,0.85859376,0.7846685,0.775,0.7735525,0.27779946,160.0,0.00391485,1,session_2,3,5,004-2014,Cov+EN
8,8,0.9359375,0.84324515,0.8375,0.8367369,0.2888344,160.0,0.0040269177,1,session_3,3,5,004-2014,Cov+EN
9,9,0.8375,0.77525675,0.76875,0.76804113,0.29325324,160.0,0.0040743435,1,session_4,3,5,004-2014,Cov+EN
10,10,0.87777776,0.79498005,0.78333336,0.78144914,0.5228187,120.0,0.0076935748,1,session_0,3,5,004-2014,CSP+LDA
11,11,0.71944445,0.6806993,0.675,0.67125463,0.30666408,120.0,0.0041059866,1,session_1,3,5,004-2014,CSP+LDA
12,12,0.84453124,0.7756974,0.76875,0.76758707,0.35175738,160.0,0.0048555746,1,session_2,3,5,004-2014,CSP+LDA
13,13,0.93046874,0.8547492,0.85,0.84939766,0.3474656,160.0,0.0047385343,1,session_3,3,5,004-2014,CSP+LDA
14,14,0.81875,0.75411767,0.75,0.74901086,0.35579005,160.0,0.0048310137,1,session_4,3,5,004-2014,CSP+LDA
15,15,0.95416665,0.91239315,0.90833336,0.90737844,27.933996,120.0,0.469127,1,session_0,3,5,004-2014,ACM+TGSP+SVM(Grid)
16,16,0.73194444,0.6172805,0.6166667,0.6150522,27.656782,120.0,0.46490774,1,session_1,3,5,004-2014,ACM+TGSP+SVM(Grid)
17,17,0.9273437,0.83424526,0.83125,0.8308996,35.501778,160.0,0.6010619,1,session_2,3,5,004-2014,ACM+TGSP+SVM(Grid)
18,18,0.9421875,0.87481374,0.86875,0.8679686,35.211113,160.0,0.5974732,1,session_3,3,5,004-2014,ACM+TGSP+SVM(Grid)
19,19,0.8828125,0.8130055,0.80625,0.80520576,35.067097,160.0,0.5932828,1,session_4,3,5,004-2014,ACM+TGSP+SVM(Grid)
20,20,0.85833335,0.78037846,0.76666665,0.76391745,0.051489115,120.0,0.00072164903,1,session_0,3,5,004-2014,FgMDM
21,21,0.6861111,0.63427573,0.6333333,0.6325187,0.05171118,120.0,0.0007214446,1,session_1,3,5,004-2014,FgMDM
