,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.8194444,0.7927794,0.76666665,0.75431603,23.606846,120.0,0.26124868,7,session_0,3,5,004-2014,EEGNet_8_2
1,0.56527776,0.5370238,0.53333336,0.5306127,22.06817,120.0,0.2462467,7,session_1,3,5,004-2014,EEGNet_8_2
2,0.98359376,0.9052563,0.9,0.8997175,32.533947,160.0,0.3645038,7,session_2,3,5,004-2014,EEGNet_8_2
3,0.9171875,0.819141,0.80625,0.80460334,23.29501,160.0,0.25956586,7,session_3,3,5,004-2014,EEGNet_8_2
4,0.9078125,0.8273203,0.825,0.82479215,31.412191,160.0,0.355011,7,session_4,3,5,004-2014,EEGNet_8_2
5,0.67638886,0.5680375,0.55833334,0.46704015,28.744545,120.0,0.32289866,7,session_0,3,5,004-2014,DeepConvNet
6,0.6236111,0.56935096,0.53333336,0.44292596,20.53688,120.0,0.22913106,7,session_1,3,5,004-2014,DeepConvNet
7,0.9375,0.45322582,0.5125,0.35969964,27.137999,160.0,0.30569747,7,session_2,3,5,004-2014,DeepConvNet
8,0.8796875,0.3516129,0.50625,0.3465165,24.993069,160.0,0.28363827,7,session_3,3,5,004-2014,DeepConvNet
9,0.89921874,0.67792815,0.59375,0.50085217,24.659843,160.0,0.2743011,7,session_4,3,5,004-2014,DeepConvNet
10,0.7430556,0.69564825,0.68333334,0.6789146,14.977331,120.0,0.16849297,7,session_0,3,5,004-2014,ShallowConvNet
11,0.57916665,0.6076268,0.6,0.5934154,15.501167,120.0,0.17560385,7,session_1,3,5,004-2014,ShallowConvNet
12,0.9234375,0.84885895,0.83125,0.8283381,24.239664,160.0,0.27439588,7,session_2,3,5,004-2014,ShallowConvNet
13,0.84765625,0.7758333,0.775,0.7748167,18.0688,160.0,0.20417957,7,session_3,3,5,004-2014,ShallowConvNet
14,0.94140625,0.8702708,0.8625,0.8618092,18.509783,160.0,0.20043705,7,session_4,3,5,004-2014,ShallowConvNet
