,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.7375,0.69445556,0.69166666,0.6907784,6.4134912,120.0,0.1060732,7,session_0,3,5,004-2014,ACM+MDM(Grid)
1,0.6791667,0.6466356,0.64166665,0.63915896,6.390197,120.0,0.105824366,7,session_1,3,5,004-2014,ACM+MDM(Grid)
2,0.9640625,0.9042577,0.9,0.89968145,8.051276,160.0,0.13385051,7,session_2,3,5,004-2014,ACM+MDM(Grid)
3,0.8421875,0.7947305,0.7875,0.786278,8.173488,160.0,0.13607061,7,session_3,3,5,004-2014,ACM+MDM(Grid)
4,0.89921874,0.81289214,0.8125,0.81240225,8.078573,160.0,0.13429163,7,session_4,3,5,004-2014,ACM+MDM(Grid)
5,0.7013889,0.66736597,0.6666667,0.66649276,0.2579755,120.0,0.0037150602,7,session_0,3,5,004-2014,Cov+EN
6,0.62777776,0.558151,0.55833334,0.5514297,0.25261927,120.0,0.0036155798,7,session_1,3,5,004-2014,Cov+EN
7,0.91796875,0.8447803,0.8375,0.8365151,0.29179937,160.0,0.004204577,7,session_2,3,5,004-2014,Cov+EN
8,0.79375,0.7296293,0.725,0.7233454,0.292358,160.0,0.0042465297,7,session_3,3,5,004-2014,Cov+EN
9,0.85859376,0.7656572,0.7625,0.7617019,0.28498015,160.0,0.0040888237,7,session_4,3,5,004-2014,Cov+EN
10,0.69722223,0.661927,0.65833336,0.65691465,0.5320403,120.0,0.008097319,7,session_0,3,5,004-2014,CSP+LDA
11,0.6402778,0.57883674,0.5833333,0.57407063,0.30835962,120.0,0.0042298594,7,session_1,3,5,004-2014,CSP+LDA
12,0.92578125,0.85153127,0.85,0.8497918,0.3517453,160.0,0.004909287,7,session_2,3,5,004-2014,CSP+LDA
13,0.7945312,0.7295798,0.725,0.72354263,0.35453114,160.0,0.0049271397,7,session_3,3,5,004-2014,CSP+LDA
14,0.85859376,0.7633333,0.7625,0.7623167,0.3507654,160.0,0.0049019805,7,session_4,3,5,004-2014,CSP+LDA
15,0.7916667,0.7283716,0.725,0.7239088,27.900986,120.0,0.48439196,7,session_0,3,5,004-2014,ACM+TGSP+SVM(Grid)
16,0.65416664,0.6182118,0.6166667,0.61599815,27.841347,120.0,0.48350647,7,session_1,3,5,004-2014,ACM+TGSP+SVM(Grid)
17,0.96875,0.890873,0.8875,0.88715684,35.120567,160.0,0.6145662,7,session_2,3,5,004-2014,ACM+TGSP+SVM(Grid)
18,0.8171875,0.7664032,0.75625,0.7543819,35.798454,160.0,0.6263483,7,session_3,3,5,004-2014,ACM+TGSP+SVM(Grid)
19,0.9078125,0.85187906,0.85,0.84987766,35.19691,160.0,0.61563474,7,session_4,3,5,004-2014,ACM+TGSP+SVM(Grid)
20,0.7097222,0.64314353,0.64166665,0.6408092,0.05038948,120.0,0.00072874106,7,session_0,3,5,004-2014,FgMDM
21,0.6527778,0.62358546,0.6166667,0.60921615,0.050920248,120.0,0.0007372857,7,session_1,3,5,004-2014,FgMDM
22,0.91796875,0.8439706,0.84375,0.8437072,0.053669214,160.0,0.0007777523,7,session_2,3,5,004-2014,FgMDM
23,0.784375,0.7461531,0.74375,0.74307,0.05557127,160.0,0.0008071398,7,session_3,3,5,004-2014,FgMDM
24,0.85078126,0.7719854,0.76875,0.76806825,0.053482007,160.0,0.0007738787,7,session_4,3,5,004-2014,FgMDM
25,0.6652778,0.634985,0.6333333,0.6323454,0.12582621,120.0,0.0016925898,7,session_0,3,5,004-2014,MDM
26,0.5875,0.57801086,0.575,0.5734364,0.12847252,120.0,0.0017392068,7,session_1,3,5,004-2014,MDM
27,0.915625,0.83034444,0.825,0.8241526,0.13256364,160.0,0.001794026,7,session_2,3,5,004-2014,MDM
28,0.77421874,0.7234921,0.71875,0.7176199,0.1314754,160.0,0.0017806675,7,session_3,3,5,004-2014,MDM
29,0.85234374,0.76941174,0.76875,0.7686217,0.13220158,160.0,0.0018270507,7,session_4,3,5,004-2014,MDM
30,0.6888889,0.66736597,0.6666667,0.66649276,0.29393667,120.0,0.004206061,7,session_0,3,5,004-2014,TANG+SVM
31,0.65,0.6381139,0.625,0.6141311,0.27528802,120.0,0.0037834442,7,session_1,3,5,004-2014,TANG+SVM
32,0.928125,0.86527467,0.8625,0.86219233,0.29792327,160.0,0.0041107167,7,session_2,3,5,004-2014,TANG+SVM
33,0.7914063,0.7212189,0.71875,0.7176864,0.29472655,160.0,0.0040735877,7,session_3,3,5,004-2014,TANG+SVM
34,0.85078126,0.78385156,0.78125,0.780619,0.31284064,160.0,0.004378378,7,session_4,3,5,004-2014,TANG+SVM
