,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,ACM+MDM(Grid),ACM+MDM(Grid),0.001953125,0.0,9
1,001-2014,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.001953125,0.8912463281941381,9
2,001-2014,2,CSP+LDA,ACM+MDM(Grid),0.97265625,-0.48385190137758,9
3,001-2014,3,Cov+EN,ACM+MDM(Grid),0.60546875,-0.1629922051291222,9
4,001-2014,4,DeepConvNet,ACM+MDM(Grid),0.92578125,-0.5120001423045536,9
5,001-2014,5,EEGNet_8_2,ACM+MDM(Grid),0.984375,-0.7541184898672211,9
6,001-2014,6,FgMDM,ACM+MDM(Grid),0.630859375,-0.15470826088868922,9
7,001-2014,7,MDM,ACM+MDM(Grid),0.9921875,-0.6546488397564346,9
8,001-2014,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.94140625,-0.4468259247321093,9
9,001-2014,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.65625,-0.2770666943569993,9
10,001-2014,10,ShallowConvNet,ACM+MDM(Grid),0.8203125,-0.35263482494171877,9
11,001-2014,11,TANG+SVM,ACM+MDM(Grid),0.568359375,-0.096900516973261,9
12,001-2014,12,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.998046875,-0.8912463281941381,9
13,001-2014,13,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.001953125,0.0,9
14,001-2014,14,CSP+LDA,ACM+TGSP+SVM(Grid),0.998046875,-0.7320265306617314,9
15,001-2014,15,Cov+EN,ACM+TGSP+SVM(Grid),0.9765625,-0.48899051207484684,9
16,001-2014,16,DeepConvNet,ACM+TGSP+SVM(Grid),0.9921875,-0.7174626052373084,9
17,001-2014,17,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.9921875,-0.9063282622327241,9
18,001-2014,18,FgMDM,ACM+TGSP+SVM(Grid),0.921875,-0.45488542736354004,9
19,001-2014,19,MDM,ACM+TGSP+SVM(Grid),0.998046875,-0.9483018652585449,9
20,001-2014,20,ACM+MDM(MDOP),ACM+TGSP+SVM(Grid),0.98828125,-0.8124302230662139,9
21,001-2014,21,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(Grid),0.98828125,-0.6482155905600814,9
22,001-2014,22,ShallowConvNet,ACM+TGSP+SVM(Grid),0.9765625,-0.5928349274443739,9
23,001-2014,23,TANG+SVM,ACM+TGSP+SVM(Grid),0.892578125,-0.3919872426179103,9
24,001-2014,24,ACM+MDM(Grid),CSP+LDA,0.029296875,0.48385190137758,9
25,001-2014,25,ACM+TGSP+SVM(Grid),CSP+LDA,0.001953125,0.7320265306617314,9
26,001-2014,26,CSP+LDA,CSP+LDA,0.001953125,0.0,9
27,001-2014,27,Cov+EN,CSP+LDA,0.00390625,0.950279625347083,9
28,001-2014,28,DeepConvNet,CSP+LDA,0.84375,-0.35936106473440554,9
29,001-2014,29,EEGNet_8_2,CSP+LDA,0.962890625,-0.6290918380281557,9
30,001-2014,30,FgMDM,CSP+LDA,0.00390625,0.789973777337392,9
31,001-2014,31,MDM,CSP+LDA,0.626953125,-0.09887933615048149,9
32,001-2014,32,ACM+MDM(MDOP),CSP+LDA,0.064453125,0.5095197770436493,9
33,001-2014,33,ACM+TGSP+SVM(MDOP),CSP+LDA,0.001953125,0.8272444594752036,9
34,001-2014,34,ShallowConvNet,CSP+LDA,0.197265625,0.39850298739026435,9
35,001-2014,35,TANG+SVM,CSP+LDA,0.001953125,0.9730800768423785,9
36,001-2014,36,ACM+MDM(Grid),Cov+EN,0.396484375,0.1629922051291222,9
37,001-2014,37,ACM+TGSP+SVM(Grid),Cov+EN,0.025390625,0.48899051207484684,9
38,001-2014,38,CSP+LDA,Cov+EN,0.998046875,-0.950279625347083,9
39,001-2014,39,Cov+EN,Cov+EN,0.001953125,0.0,9
40,001-2014,40,DeepConvNet,Cov+EN,0.9765625,-0.7761454186412584,9
41,001-2014,41,EEGNet_8_2,Cov+EN,0.984375,-0.839292912317826,9
42,001-2014,42,FgMDM,Cov+EN,0.552734375,-0.05429250292174565,9
43,001-2014,43,MDM,Cov+EN,0.998046875,-1.2206493632754136,9
44,001-2014,44,ACM+MDM(MDOP),Cov+EN,0.923828125,-0.5428562205051848,9
