,pipeline,score,std
0,ACM+MDM(Grid),0.8475351193055556,0.14887961530449817
1,ACM+TGSP+SVM(Grid),0.8604375527777778,0.14689690384719062
2,CSP+LDA,0.8197055384722223,0.15349512597428086
3,Cov+EN,0.8343822138888889,0.1471493522983044
4,DeepConvNet,0.7725262034722222,0.18620439937900263
5,EEGNet_8_2,0.7406410793055556,0.20544354644666124
6,FgMDM,0.8281110772222222,0.14437988157017045
7,MDM,0.8062928709722222,0.15304002005945425
8,ACM+MDM(MDOP),0.8330551240277777,0.1476574648020717
9,ACM+TGSP+SVM(MDOP),0.8471566669444445,0.14331725650508018
10,ShallowConvNet,0.7823436106944445,0.18247136987973528
11,TANG+SVM,0.8316155166666667,0.14511402133108606
