,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.85555553,0.82916915,0.8242424,0.823179,27.783142,119.0,0.87792224,1,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1,0.94,0.86668885,0.84,0.8368019,24.730404,100.0,0.8246345,1,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,2,0.966,0.9547619,0.94,0.93813133,22.451355,100.0,0.58026886,1,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.9239899,0.8249617,0.82348484,0.82297516,0.28071293,119.0,0.0067816135,1,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.934,0.83570707,0.83,0.8291167,0.2635521,100.0,0.008158602,1,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.964,0.9367424,0.93,0.92936885,0.25810605,100.0,0.0079494845,1,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.8584596,0.81930405,0.8151515,0.81455064,0.6933766,119.0,0.017056756,1,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.938,0.8552525,0.85,0.8495223,0.3103508,100.0,0.0095107695,1,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.966,0.94965035,0.94,0.93923426,0.31087333,100.0,0.009496093,1,session_2,14,3,Zhou 2016,CSP+LDA
9,9,0.9229798,0.8441192,0.8401515,0.8400319,143.35544,119.0,4.7508073,1,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.946,0.8878866,0.87,0.86834174,120.05997,100.0,3.9457774,1,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.966,0.9602564,0.95,0.94910747,116.55201,100.0,3.6643262,1,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.8875,0.7938617,0.79015154,0.78910965,0.12778063,119.0,0.003846998,1,session_0,14,3,Zhou 2016,FgMDM
13,13,0.856,0.7549378,0.74,0.7356679,0.12496338,100.0,0.0037507494,1,session_1,14,3,Zhou 2016,FgMDM
14,14,0.936,0.88787544,0.87,0.8666074,0.11649404,100.0,0.0024788762,1,session_2,14,3,Zhou 2016,FgMDM
15,15,0.8034091,0.7878022,0.7825758,0.78038013,0.108102605,119.0,0.0032571473,1,session_0,14,3,Zhou 2016,MDM
16,16,0.906,0.8510179,0.82,0.8151603,0.10676713,100.0,0.0032111038,1,session_1,14,3,Zhou 2016,MDM
17,17,0.944,0.945671,0.93,0.92810625,0.08810463,100.0,0.001914758,1,session_2,14,3,Zhou 2016,MDM
18,18,0.8919192,0.7998252,0.79848486,0.798,0.3099369,119.0,0.007411568,1,session_0,14,3,Zhou 2016,TANG+SVM
19,19,0.896,0.8241162,0.82,0.81949574,0.26794845,100.0,0.008320222,1,session_1,14,3,Zhou 2016,TANG+SVM
20,20,0.962,0.9200758,0.91,0.9091669,0.2858359,100.0,0.008788342,1,session_2,14,3,Zhou 2016,TANG+SVM
0,0,0.912,0.84904426,0.84,0.8390839,23.751959,100.0,0.77554435,2,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1,0.76296294,0.7067749,0.7,0.69687825,21.639635,90.0,0.70703465,2,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,2,0.93,0.88900435,0.87,0.86790425,23.348951,100.0,0.7625823,2,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.918,0.8377525,0.83,0.82911825,0.27306467,100.0,0.006590238,2,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.75061727,0.6892533,0.67777777,0.6719206,3.5091312,90.0,0.09088915,2,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.908,0.8169192,0.81,0.8089162,0.2496613,100.0,0.007258954,2,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.878,0.78988373,0.77,0.7665278,0.86319846,100.0,0.021434244,2,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.6691358,0.6652994,0.65555555,0.6505317,0.2854839,90.0,0.006186912,2,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.908,0.81313133,0.81,0.8095238,0.30710784,100.0,0.008908316,2,session_2,14,3,Zhou 2016,CSP+LDA
9,9,0.936,0.8572619,0.84,0.83772725,116.5557,100.0,3.8996742,2,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.7975309,0.7927156,0.76666665,0.7631277,104.657425,90.0,3.4690163,2,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.948,0.8445455,0.84,0.83959746,111.69236,100.0,3.70234,2,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.894,0.81558025,0.8,0.797554,0.1361107,100.0,0.0037174067,2,session_0,14,3,Zhou 2016,FgMDM
13,13,0.74814814,0.67290765,0.6666667,0.6624682,0.12044068,90.0,0.0034233967,2,session_1,14,3,Zhou 2016,FgMDM
14,14,0.9,0.8214141,0.82,0.8198496,0.14111738,100.0,0.0039768717,2,session_2,14,3,Zhou 2016,FgMDM
15,15,0.898,0.8332615,0.82,0.81857806,0.08650608,100.0,0.0020590555,2,session_0,14,3,Zhou 2016,MDM
16,16,0.7160494,0.6356205,0.6333333,0.62916124,0.10913243,90.0,0.0030660818,2,session_1,14,3,Zhou 2016,MDM
17,17,0.928,0.86186147,0.85,0.84727293,0.11186643,100.0,0.0031721443,2,session_2,14,3,Zhou 2016,MDM
18,18,0.91,0.8257967,0.8,0.79608786,0.30116087,100.0,0.0072121113,2,session_0,14,3,Zhou 2016,TANG+SVM
19,19,0.7432099,0.6991889,0.6888889,0.68160987,0.27130055,90.0,0.007902243,2,session_1,14,3,Zhou 2016,TANG+SVM
20,20,0.904,0.81757134,0.81,0.8084982,0.27482486,100.0,0.008022132,2,session_2,14,3,Zhou 2016,TANG+SVM
0,0,0.97,0.91502523,0.91,0.9094706,22.818663,100.0,0.5797487,3,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1,0.932,0.8843726,0.87,0.86860317,21.970211,100.0,0.57078046,3,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,2,0.952,0.90340906,0.89,0.88896483,23.413849,100.0,0.782627,3,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.994,0.9443182,0.94,0.9395458,0.25054717,100.0,0.0053861337,3,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.99,0.9251515,0.92,0.9197478,0.252078,100.0,0.0053664413,3,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.996,0.9727273,0.97,0.9699248,0.25049767,100.0,0.0054112594,3,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.986,0.9443182,0.94,0.9395458,0.5470667,100.0,0.012416466,3,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.992,0.9360606,0.93,0.9297228,0.30540103,100.0,0.0064282115,3,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.99,0.9451515,0.94,0.93974787,0.29854664,100.0,0.0063977395,3,session_2,14,3,Zhou 2016,CSP+LDA
9,9,0.988,0.9352273,0.93,0.9295208,109.87051,100.0,2.910623,3,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.98,0.89737374,0.89,0.88952076,109.46824,100.0,2.8900077,3,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,1.0,0.94848484,0.94,0.9395458,114.709366,100.0,3.5863671,3,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.974,0.9311655,0.92,0.9190824,0.12067318,100.0,0.0024148682,3,session_0,14,3,Zhou 2016,FgMDM
