,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.85555553,0.82916915,0.8242424,0.823179,27.783142,119.0,0.87792224,1,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,0.94,0.86668885,0.84,0.8368019,24.730404,100.0,0.8246345,1,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,0.966,0.9547619,0.94,0.93813133,22.451355,100.0,0.58026886,1,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,0.9239899,0.8249617,0.82348484,0.82297516,0.28071293,119.0,0.0067816135,1,session_0,14,3,Zhou 2016,Cov+EN
4,0.934,0.83570707,0.83,0.8291167,0.2635521,100.0,0.008158602,1,session_1,14,3,Zhou 2016,Cov+EN
5,0.964,0.9367424,0.93,0.92936885,0.25810605,100.0,0.0079494845,1,session_2,14,3,Zhou 2016,Cov+EN
6,0.8584596,0.81930405,0.8151515,0.81455064,0.6933766,119.0,0.017056756,1,session_0,14,3,Zhou 2016,CSP+LDA
7,0.938,0.8552525,0.85,0.8495223,0.3103508,100.0,0.0095107695,1,session_1,14,3,Zhou 2016,CSP+LDA
8,0.966,0.94965035,0.94,0.93923426,0.31087333,100.0,0.009496093,1,session_2,14,3,Zhou 2016,CSP+LDA
9,0.9229798,0.8441192,0.8401515,0.8400319,143.35544,119.0,4.7508073,1,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,0.946,0.8878866,0.87,0.86834174,120.05997,100.0,3.9457774,1,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,0.966,0.9602564,0.95,0.94910747,116.55201,100.0,3.6643262,1,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,0.8875,0.7938617,0.79015154,0.78910965,0.12778063,119.0,0.003846998,1,session_0,14,3,Zhou 2016,FgMDM
13,0.856,0.7549378,0.74,0.7356679,0.12496338,100.0,0.0037507494,1,session_1,14,3,Zhou 2016,FgMDM
14,0.936,0.88787544,0.87,0.8666074,0.11649404,100.0,0.0024788762,1,session_2,14,3,Zhou 2016,FgMDM
15,0.8034091,0.7878022,0.7825758,0.78038013,0.108102605,119.0,0.0032571473,1,session_0,14,3,Zhou 2016,MDM
16,0.906,0.8510179,0.82,0.8151603,0.10676713,100.0,0.0032111038,1,session_1,14,3,Zhou 2016,MDM
17,0.944,0.945671,0.93,0.92810625,0.08810463,100.0,0.001914758,1,session_2,14,3,Zhou 2016,MDM
18,0.8919192,0.7998252,0.79848486,0.798,0.3099369,119.0,0.007411568,1,session_0,14,3,Zhou 2016,TANG+SVM
19,0.896,0.8241162,0.82,0.81949574,0.26794845,100.0,0.008320222,1,session_1,14,3,Zhou 2016,TANG+SVM
20,0.962,0.9200758,0.91,0.9091669,0.2858359,100.0,0.008788342,1,session_2,14,3,Zhou 2016,TANG+SVM
