,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.98070985,0.8798701,0.8611111,0.859375,155.77042,144.0,0.96905816,1,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.974537,0.85137534,0.8055556,0.799003,257.365,144.0,1.4755279,1,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9689429,0.8798701,0.8611111,0.859375,0.6728809,144.0,0.003167094,1,session_E,22,2,001-2014,Cov+EN
3,3,0.96103394,0.84363633,0.7916667,0.78348035,1.347642,144.0,0.006518047,1,session_T,22,2,001-2014,Cov+EN
4,4,0.97530866,0.8636364,0.8125,0.805668,5.8258977,144.0,0.027182639,1,session_E,22,2,001-2014,CSP+LDA
5,5,0.94656634,0.85294116,0.7916667,0.78221416,6.529744,144.0,0.030629866,1,session_T,22,2,001-2014,CSP+LDA
6,6,0.9728009,0.8977515,0.8958333,0.8957076,553.3149,144.0,3.7063153,1,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.97935957,0.85137534,0.8055556,0.799003,1131.7782,144.0,7.5676575,1,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.95968366,0.87528956,0.875,0.87497586,0.6050601,144.0,0.0027482684,1,session_E,22,2,001-2014,FgMDM
9,9,0.9184028,0.7881773,0.6805556,0.6476596,1.1682651,144.0,0.005323419,1,session_T,22,2,001-2014,FgMDM
10,10,0.9623843,0.8702359,0.8541667,0.8525669,0.3565278,144.0,0.0015767021,1,session_E,22,2,001-2014,MDM
11,11,0.9506173,0.82884616,0.7638889,0.7516234,0.6368761,144.0,0.0027511588,1,session_T,22,2,001-2014,MDM
12,12,0.95852625,0.865625,0.8611111,0.8606811,0.6442237,144.0,0.002964909,1,session_E,22,2,001-2014,TANG+SVM
13,13,0.9504244,0.85643566,0.7986111,0.790098,1.2472947,144.0,0.005713847,1,session_T,22,2,001-2014,TANG+SVM
0,0,0.6222994,0.5602007,0.5555556,0.54681355,104.72378,144.0,0.6681461,2,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.5943287,0.5,0.5,0.3452892,211.98035,144.0,1.3438727,2,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.5902778,0.6164211,0.5625,0.5052086,0.67863965,144.0,0.0034157569,2,session_E,22,2,001-2014,Cov+EN
3,3,0.5931713,0.25,0.5,0.33333334,1.3747416,144.0,0.0067234063,2,session_T,22,2,001-2014,Cov+EN
4,4,0.5358796,0.5075901,0.5069444,0.4962306,5.8531938,144.0,0.02732669,2,session_E,22,2,001-2014,CSP+LDA
5,5,0.5461034,0.25,0.5,0.33333334,6.7014303,144.0,0.03127325,2,session_T,22,2,001-2014,CSP+LDA
6,6,0.66878855,0.67326206,0.625,0.5969314,522.89954,144.0,3.508547,2,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.6880787,0.75174826,0.5069444,0.34858236,1067.8032,144.0,7.158086,2,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.5590278,0.5508167,0.5486111,0.5436595,0.6968093,144.0,0.0039929785,2,session_E,22,2,001-2014,FgMDM
9,9,0.544946,0.5,0.5,0.40317753,1.327518,144.0,0.007611698,2,session_T,22,2,001-2014,FgMDM
10,10,0.5964506,0.5638864,0.5555556,0.54057825,0.3249991,144.0,0.0019989032,2,session_E,22,2,001-2014,MDM
11,11,0.5626929,0.25,0.5,0.33333334,0.6141317,144.0,0.0036598807,2,session_T,22,2,001-2014,MDM
12,12,0.580054,0.58937436,0.5694444,0.5440245,0.6706753,144.0,0.003191794,2,session_E,22,2,001-2014,TANG+SVM
13,13,0.55131173,0.5869565,0.5138889,0.3846154,1.308049,144.0,0.0059647025,2,session_T,22,2,001-2014,TANG+SVM
0,0,0.9976852,0.94167477,0.9375,0.93735194,177.48291,144.0,0.44393867,3,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.9918981,0.9186047,0.9027778,0.90185004,372.57843,144.0,0.9281816,3,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9976852,0.9186047,0.9027778,0.90185004,1.1112168,144.0,0.0024340248,3,session_E,22,2,001-2014,Cov+EN
3,3,0.9986497,0.87113404,0.8263889,0.8209935,2.2070043,144.0,0.0048465324,3,session_T,22,2,001-2014,Cov+EN
4,4,0.99633485,0.9091725,0.8958333,0.8949774,3.3368478,144.0,0.008307312,3,session_E,22,2,001-2014,CSP+LDA
5,5,0.9924769,0.93373495,0.9236111,0.92316276,4.331354,144.0,0.010464406,3,session_T,22,2,001-2014,CSP+LDA
6,6,0.9982639,0.9736842,0.9722222,0.97220075,1006.405,144.0,2.5594187,3,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.99614197,0.9137931,0.8958333,0.89469063,2028.1322,144.0,5.168852,3,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.9982639,0.9864865,0.9861111,0.9861084,1.0648696,144.0,0.0025515528,3,session_E,22,2,001-2014,FgMDM
9,9,0.9990355,0.9235294,0.9097222,0.9089804,2.0679033,144.0,0.004940162,3,session_T,22,2,001-2014,FgMDM
10,10,0.99575615,0.8944805,0.875,0.8734375,0.53216815,144.0,0.0012314817,3,session_E,22,2,001-2014,MDM
11,11,0.99382716,0.86734694,0.8194444,0.8133599,1.0110552,144.0,0.0022843017,3,session_T,22,2,001-2014,MDM
12,12,0.99324846,0.9444444,0.9375,0.9372549,1.018287,144.0,0.0021826166,3,session_E,22,2,001-2014,TANG+SVM
13,13,0.998071,0.8636364,0.8125,0.805668,1.9719274,144.0,0.0041995533,3,session_T,22,2,001-2014,TANG+SVM
0,0,0.86959875,0.8115657,0.8055556,0.8046133,138.99457,144.0,1.9671855,4,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.85030866,0.78571427,0.7777778,0.7762238,260.2276,144.0,3.6740348,4,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.88059413,0.7592593,0.6944444,0.67407405,0.8275931,144.0,0.009702345,4,session_E,22,2,001-2014,Cov+EN
3,3,0.85455245,0.802521,0.75,0.738657,1.5282786,144.0,0.017688682,4,session_T,22,2,001-2014,Cov+EN
4,4,0.7957176,0.75396824,0.6111111,0.54747474,18.580214,144.0,0.18600756,4,session_E,22,2,001-2014,CSP+LDA
5,5,0.80574846,0.6838298,0.6666667,0.65870035,20.580343,144.0,0.20676094,4,session_T,22,2,001-2014,CSP+LDA
6,6,0.8703704,0.7637029,0.7013889,0.68264055,1030.2496,144.0,13.880473,4,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.8777006,0.7808349,0.7569444,0.75166297,1813.8882,144.0,25.101542,4,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.861304,0.7671875,0.7638889,0.7631579,0.7610457,144.0,0.010470515,4,session_E,22,2,001-2014,FgMDM
9,9,0.86612654,0.7916667,0.7916667,0.7916667,1.440022,144.0,0.01977523,4,session_T,22,2,001-2014,FgMDM
10,10,0.80073303,0.7483766,0.7361111,0.7328125,0.41601443,144.0,0.005674697,4,session_E,22,2,001-2014,MDM
11,11,0.8188657,0.7742582,0.7638889,0.76163584,0.7222452,144.0,0.009820241,4,session_T,22,2,001-2014,MDM
12,12,0.88097996,0.76086956,0.5416667,0.41978022,0.74809957,144.0,0.0083311265,4,session_E,22,2,001-2014,TANG+SVM
13,13,0.86419755,0.79216933,0.7569444,0.7493909,1.4413979,144.0,0.015697215,4,session_T,22,2,001-2014,TANG+SVM
0,0,0.9305556,0.86263084,0.8541667,0.8533107,141.41197,144.0,1.994839,5,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.9540895,0.8977515,0.8958333,0.8957076,259.307,144.0,3.606211,5,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.7220293,0.67391306,0.6736111,0.67346936,0.9146557,144.0,0.010906458,5,session_E,22,2,001-2014,Cov+EN
3,3,0.6828704,0.6074627,0.5277778,0.42031732,1.7574046,144.0,0.020004172,5,session_T,22,2,001-2014,Cov+EN
4,4,0.6377315,0.6344538,0.6111111,0.5934664,18.322533,144.0,0.18320477,5,session_E,22,2,001-2014,CSP+LDA
5,5,0.7515432,0.7057143,0.6180556,0.5725158,20.22968,144.0,0.20306425,5,session_T,22,2,001-2014,CSP+LDA
6,6,0.9535108,0.8837953,0.8819444,0.88180196,1068.3505,144.0,14.398899,5,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.96392745,0.8857143,0.875,0.8741259,1850.5969,144.0,25.613977,5,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.7349537,0.6884086,0.6875,0.68712276,1.168169,144.0,0.013860881,5,session_E,22,2,001-2014,FgMDM
9,9,0.7037037,0.61612904,0.5555556,0.48890862,2.0225139,144.0,0.024025505,5,session_T,22,2,001-2014,FgMDM
10,10,0.5960648,0.56619,0.5625,0.5563163,0.52497435,144.0,0.00592085,5,session_E,22,2,001-2014,MDM
11,11,0.6672454,0.5888889,0.5833333,0.5767196,0.9594047,144.0,0.010823972,5,session_T,22,2,001-2014,MDM
12,12,0.767554,0.6753247,0.6666667,0.6625,0.8357961,144.0,0.00924995,5,session_E,22,2,001-2014,TANG+SVM
13,13,0.71566355,0.67142856,0.6666667,0.66433567,1.5731614,144.0,0.01653664,5,session_T,22,2,001-2014,TANG+SVM
0,0,0.85493827,0.7656032,0.7569444,0.75494725,163.63826,144.0,2.3102396,6,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.859375,0.788,0.6319444,0.57427347,303.66464,144.0,4.1733584,6,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.8252315,0.756994,0.7569444,0.75693274,0.82051396,144.0,0.0092436075,6,session_E,22,2,001-2014,Cov+EN
3,3,0.87924385,0.7757447,0.75,0.7440253,1.714515,144.0,0.019644545,6,session_T,22,2,001-2014,Cov+EN
4,4,0.7835648,0.70897835,0.7083333,0.7081081,19.112484,144.0,0.19111736,6,session_E,22,2,001-2014,CSP+LDA
5,5,0.828125,0.7236025,0.6944444,0.68414754,21.04868,144.0,0.2111823,6,session_T,22,2,001-2014,CSP+LDA
6,6,0.82426697,0.72659326,0.7222222,0.72087616,1055.6423,144.0,14.224473,6,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.8609182,0.7852174,0.7847222,0.78462875,1825.8589,144.0,25.265364,6,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.83429784,0.75019306,0.75,0.7499518,0.83552575,144.0,0.008949229,6,session_E,22,2,001-2014,FgMDM
9,9,0.8726852,0.808674,0.7986111,0.7969563,1.6232746,144.0,0.0173666,6,session_T,22,2,001-2014,FgMDM
10,10,0.76022375,0.7201139,0.7013889,0.6949002,0.4339633,144.0,0.0045746863,6,session_E,22,2,001-2014,MDM
11,11,0.78665125,0.67901963,0.6458333,0.628622,0.7737851,144.0,0.008103407,6,session_T,22,2,001-2014,MDM
12,12,0.7928241,0.6858586,0.6597222,0.6473234,0.7467134,144.0,0.008261981,6,session_E,22,2,001-2014,TANG+SVM
13,13,0.83777004,0.7309543,0.7222222,0.7195716,1.5472574,144.0,0.01682861,6,session_T,22,2,001-2014,TANG+SVM
0,0,0.9392361,0.8076923,0.6875,0.65367967,166.0418,144.0,2.361462,7,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.9523534,0.8130435,0.7013889,0.67215544,281.83823,144.0,3.9940956,7,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.94695216,0.7373626,0.5833333,0.50264794,0.83175445,144.0,0.008342014,7,session_E,22,2,001-2014,Cov+EN
3,3,0.9048997,0.78571427,0.625,0.56363636,1.6265407,144.0,0.017950404,7,session_T,22,2,001-2014,Cov+EN
4,4,0.8896605,0.7736566,0.7013889,0.68028086,18.828005,144.0,0.18861464,7,session_E,22,2,001-2014,CSP+LDA
5,5,0.8663194,0.7813166,0.7291667,0.716005,20.743612,144.0,0.208413,7,session_T,22,2,001-2014,CSP+LDA
6,6,0.9697145,0.8333333,0.75,0.73333335,1008.1279,144.0,13.587182,7,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.9409722,0.81578946,0.7083333,0.6812144,1771.5042,144.0,24.490185,7,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.86323303,0.661194,0.5416667,0.4373668,0.8088567,144.0,0.011320493,7,session_E,22,2,001-2014,FgMDM
9,9,0.86670524,0.75478375,0.6875,0.6654102,1.6163044,144.0,0.022600994,7,session_T,22,2,001-2014,FgMDM
10,10,0.80401236,0.6553957,0.5208333,0.38844094,0.45156288,144.0,0.006409971,7,session_E,22,2,001-2014,MDM
11,11,0.9216821,0.788,0.6319444,0.57427347,0.82082105,144.0,0.011556101,7,session_T,22,2,001-2014,MDM
12,12,0.91685957,0.76951873,0.6944444,0.6715737,0.66152906,144.0,0.0064768395,7,session_E,22,2,001-2014,TANG+SVM
13,13,0.8553241,0.7748092,0.5902778,0.507621,1.3854463,144.0,0.01465668,7,session_T,22,2,001-2014,TANG+SVM
0,0,0.9992284,0.96753246,0.9652778,0.9652359,134.27339,144.0,1.6447139,8,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.9953704,0.93373495,0.9236111,0.92316276,353.76462,144.0,4.459594,8,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.99324846,0.96536756,0.9652778,0.9652761,0.89410853,144.0,0.0095056165,8,session_E,22,2,001-2014,Cov+EN
3,3,0.9947917,0.96153843,0.9583333,0.9582609,1.705698,144.0,0.019207908,8,session_T,22,2,001-2014,Cov+EN
4,4,0.99324846,0.9447876,0.9444444,0.94443375,18.762045,144.0,0.18797809,8,session_E,22,2,001-2014,CSP+LDA
5,5,0.99440587,0.96153843,0.9583333,0.9582609,20.636147,144.0,0.20733067,8,session_T,22,2,001-2014,CSP+LDA
6,6,0.9988426,0.9864865,0.9861111,0.9861084,1195.3009,144.0,16.127918,8,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.9971065,0.95,0.9444444,0.94427246,2025.734,144.0,28.092024,8,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.9971065,0.95,0.9444444,0.94427246,0.89544797,144.0,0.012400084,8,session_E,22,2,001-2014,FgMDM
9,9,0.99382716,0.95868725,0.9583333,0.95832527,1.8434956,144.0,0.025488049,8,session_T,22,2,001-2014,FgMDM
10,10,0.99575615,0.94755244,0.9444444,0.9443478,0.4766531,144.0,0.006567636,8,session_E,22,2,001-2014,MDM
11,11,0.9820602,0.9235294,0.9097222,0.9089804,0.86165595,144.0,0.011840428,8,session_T,22,2,001-2014,MDM
