,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,ACM+MDM(Grid),ACM+MDM(Grid),0.001953125,0.0,9
1,001-2014,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.04296875,0.5624167494142887,9
2,001-2014,2,CSP+LDA,ACM+MDM(Grid),0.98046875,-0.6135847653716259,9
3,001-2014,3,Cov+EN,ACM+MDM(Grid),0.796875,-0.34617893315986015,9
4,001-2014,4,DeepConvNet,ACM+MDM(Grid),0.947265625,-0.6326625064688862,9
5,001-2014,5,EEGNet_8_2,ACM+MDM(Grid),0.96484375,-0.7248255432853041,9
6,001-2014,6,FgMDM,ACM+MDM(Grid),0.94921875,-0.5642146081643571,9
7,001-2014,7,MDM,ACM+MDM(Grid),0.998046875,-0.6853913005593565,9
8,001-2014,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.880859375,-0.38325627099091886,9
9,001-2014,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.61328125,-0.2326944135066313,9
10,001-2014,10,ShallowConvNet,ACM+MDM(Grid),0.70703125,-0.22113631823430757,9
11,001-2014,11,TANG+SVM,ACM+MDM(Grid),0.95703125,-0.5365764120379044,9
12,001-2014,12,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.958984375,-0.5624167494142887,9
13,001-2014,13,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.001953125,0.0,9
14,001-2014,14,CSP+LDA,ACM+TGSP+SVM(Grid),0.984375,-0.7230981230671125,9
15,001-2014,15,Cov+EN,ACM+TGSP+SVM(Grid),0.9453125,-0.48561416783820316,9
16,001-2014,16,DeepConvNet,ACM+TGSP+SVM(Grid),0.978515625,-0.7271066973085976,9
17,001-2014,17,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.982421875,-0.8006314901619914,9
18,001-2014,18,FgMDM,ACM+TGSP+SVM(Grid),0.98046875,-0.67449748825451,9
19,001-2014,19,MDM,ACM+TGSP+SVM(Grid),0.998046875,-0.8060110534958582,9
20,001-2014,20,ACM+MDM(MDOP),ACM+TGSP+SVM(Grid),0.998046875,-0.5428303465153246,9
21,001-2014,21,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(Grid),0.951171875,-0.4005050405763524,9
22,001-2014,22,ShallowConvNet,ACM+TGSP+SVM(Grid),0.818359375,-0.37062094818228697,9
23,001-2014,23,TANG+SVM,ACM+TGSP+SVM(Grid),0.990234375,-0.6801739141252309,9
24,001-2014,24,ACM+MDM(Grid),CSP+LDA,0.021484375,0.6135847653716259,9
25,001-2014,25,ACM+TGSP+SVM(Grid),CSP+LDA,0.017578125,0.7230981230671125,9
26,001-2014,26,CSP+LDA,CSP+LDA,0.001953125,0.0,9
27,001-2014,27,Cov+EN,CSP+LDA,0.033203125,0.7830852232739677,9
28,001-2014,28,DeepConvNet,CSP+LDA,0.892578125,-0.45669945627870934,9
