,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.90166664,0.8125,0.8,0.7979798,45.709053,600.0,0.07712655,1,session_0,3,5,004-2014,ACM+MDM(MDOP)
1,0.77944446,0.74,0.6333333,0.5875,92.30745,600.0,0.1604083,1,session_1,3,5,004-2014,ACM+MDM(MDOP)
2,0.9028125,0.79296875,0.6875,0.6565934,135.79277,560.0,0.23838712,1,session_2,3,5,004-2014,ACM+MDM(MDOP)
3,0.8865625,0.778474,0.65625,0.61388266,178.82755,560.0,0.31537315,1,session_3,3,5,004-2014,ACM+MDM(MDOP)
4,0.795,0.73005754,0.64375,0.6068796,221.89914,560.0,0.3921133,1,session_4,3,5,004-2014,ACM+MDM(MDOP)
5,0.8933333,0.8296703,0.8,0.79539645,58.248154,600.0,0.09680122,1,session_0,3,5,004-2014,ACM+TGSP+SVM(MDOP)
6,0.77666664,0.7097902,0.7083333,0.7078261,105.50511,600.0,0.18128529,1,session_1,3,5,004-2014,ACM+TGSP+SVM(MDOP)
7,0.8907812,0.8125,0.7,0.6703297,149.32182,560.0,0.25979137,1,session_2,3,5,004-2014,ACM+TGSP+SVM(MDOP)
8,0.84296876,0.7635046,0.625,0.5682677,193.2446,560.0,0.3380221,1,session_3,3,5,004-2014,ACM+TGSP+SVM(MDOP)
9,0.7864063,0.7813853,0.6625,0.6226415,236.85841,560.0,0.41641444,1,session_4,3,5,004-2014,ACM+TGSP+SVM(MDOP)
