,pipeline,score,std
0,ACM+MDM(Grid),0.8291605406666667,0.145592371613664
1,ACM+TGSP+SVM(Grid),0.8325389993333333,0.1500081073407003
2,CSP+LDA,0.8050525091111111,0.14141133178994678
3,Cov+EN,0.8061403453333333,0.14109883194145031
4,DeepConvNet,0.749624944888889,0.17098954395119334
5,EEGNet_8_2,0.749693556,0.16549621045568097
6,FgMDM,0.8040775544444445,0.14169772282851914
7,MDM,0.7904065775555557,0.1492970639252591
8,ACM+MDM(MDOP),0.8137028695555556,0.14980914396393183
9,ACM+TGSP+SVM(MDOP),0.813731968,0.14829668700297666
10,ShallowConvNet,0.7334374784444445,0.18652810760143437
11,TANG+SVM,0.799415832888889,0.1423304507301491
