,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.77,0.68666667,0.675,0.6698413,111.44732,620.0,0.21986699,5,session_0,3,5,004-2014,EEGNet_8_2
1,0.78816324,0.76005244,0.74285716,0.738535,196.75131,600.0,0.38862625,5,session_1,3,5,004-2014,EEGNet_8_2
2,0.92375,0.8354961,0.83125,0.83071434,290.92197,580.0,0.57499534,5,session_2,3,5,004-2014,EEGNet_8_2
3,0.9425,0.8651116,0.8375,0.8343685,359.9805,580.0,0.71171707,5,session_3,3,5,004-2014,EEGNet_8_2
4,0.8329688,0.7839827,0.75625,0.75015014,436.96503,580.0,0.8634554,5,session_4,3,5,004-2014,EEGNet_8_2
5,0.7861111,0.78456455,0.775,0.77309334,172.22424,620.0,0.3732165,5,session_0,3,5,004-2014,DeepConvNet
6,0.7565306,0.69509476,0.60714287,0.5572423,282.2427,600.0,0.60950387,5,session_1,3,5,004-2014,DeepConvNet
7,0.9275,0.7877698,0.63125,0.5732176,392.15652,580.0,0.84548044,5,session_2,3,5,004-2014,DeepConvNet
8,0.9507812,0.8642987,0.84375,0.8415151,529.23004,580.0,1.1412812,5,session_3,3,5,004-2014,DeepConvNet
9,0.8196875,0.7112076,0.69375,0.6872881,804.7904,580.0,1.7219493,5,session_4,3,5,004-2014,DeepConvNet
10,0.7430556,0.5978615,0.575,0.5486393,101.98767,620.0,0.2225077,5,session_0,3,5,004-2014,ShallowConvNet
11,0.7589796,0.70416665,0.7,0.69846153,347.88953,600.0,0.76159734,5,session_1,3,5,004-2014,ShallowConvNet
12,0.89703125,0.81565654,0.8125,0.8120301,416.93454,580.0,0.91128534,5,session_2,3,5,004-2014,ShallowConvNet
13,0.9309375,0.85,0.85,0.85,485.38904,580.0,1.059145,5,session_3,3,5,004-2014,ShallowConvNet
14,0.80296874,0.7215137,0.70625,0.701101,559.2818,580.0,1.2197641,5,session_4,3,5,004-2014,ShallowConvNet
