,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.9141667,0.8428571,0.8333333,0.8321678,18.902126,600.0,0.06935733,1,session_0,3,5,004-2014,ACM+MDM(Grid)
1,0.81916666,0.77183765,0.7083333,0.69024265,37.450665,600.0,0.13791995,1,session_1,3,5,004-2014,ACM+MDM(Grid)
2,0.853125,0.7582728,0.7,0.68206656,55.092995,560.0,0.2026982,1,session_2,3,5,004-2014,ACM+MDM(Grid)
3,0.9267188,0.80334085,0.73125,0.71427387,72.52579,560.0,0.2669091,1,session_3,3,5,004-2014,ACM+MDM(Grid)
4,0.8765625,0.73295647,0.60625,0.5442832,90.28411,560.0,0.33201984,1,session_4,3,5,004-2014,ACM+MDM(Grid)
5,0.8713889,0.75641024,0.73333335,0.7271952,0.43818426,600.0,0.0012497278,1,session_0,3,5,004-2014,Cov+EN
6,0.7416667,0.6748095,0.60833335,0.56718594,0.87015915,600.0,0.002458116,1,session_1,3,5,004-2014,Cov+EN
7,0.8784375,0.8030303,0.675,0.6366177,1.2861316,560.0,0.0035894131,1,session_2,3,5,004-2014,Cov+EN
8,0.92640626,0.8481625,0.8375,0.83624625,1.7039759,560.0,0.0047186525,1,session_3,3,5,004-2014,Cov+EN
9,0.796875,0.75714284,0.6125,0.5490909,2.1243703,560.0,0.0058529554,1,session_4,3,5,004-2014,Cov+EN
10,0.8602778,0.7754036,0.7416667,0.73350525,2.2284725,600.0,0.007204233,1,session_0,3,5,004-2014,CSP+LDA
11,0.74333334,0.68,0.6,0.55,2.7772412,600.0,0.008822613,1,session_1,3,5,004-2014,CSP+LDA
12,0.88328123,0.7635046,0.625,0.5682677,3.300368,560.0,0.010296671,1,session_2,3,5,004-2014,CSP+LDA
13,0.9228125,0.8466667,0.825,0.82222223,3.8351,560.0,0.011799598,1,session_3,3,5,004-2014,CSP+LDA
14,0.8154687,0.7758621,0.59375,0.51345026,4.3680916,560.0,0.013311914,1,session_4,3,5,004-2014,CSP+LDA
15,0.92444444,0.85633487,0.85,0.84933037,101.02887,600.0,0.37739065,1,session_0,3,5,004-2014,ACM+TGSP+SVM(Grid)
16,0.8361111,0.76936024,0.76666665,0.76608187,201.48811,600.0,0.75434333,1,session_1,3,5,004-2014,ACM+TGSP+SVM(Grid)
17,0.9321875,0.8162346,0.76875,0.7597305,289.0223,560.0,1.0904149,1,session_2,3,5,004-2014,ACM+TGSP+SVM(Grid)
18,0.88609374,0.73391813,0.63125,0.5858014,377.93777,560.0,1.4306456,1,session_3,3,5,004-2014,ACM+TGSP+SVM(Grid)
19,0.8990625,0.8106126,0.725,0.70464844,466.9272,560.0,1.7702079,1,session_4,3,5,004-2014,ACM+TGSP+SVM(Grid)
20,0.87722224,0.77555555,0.7583333,0.75449735,0.21762276,600.0,0.0006737513,1,session_0,3,5,004-2014,FgMDM
21,0.73888886,0.6630435,0.6166667,0.58732057,0.3967514,600.0,0.0011438533,1,session_1,3,5,004-2014,FgMDM
22,0.869375,0.78717947,0.675,0.63982683,0.5857644,560.0,0.0015928794,1,session_2,3,5,004-2014,FgMDM
23,0.9228125,0.84815633,0.84375,0.843254,0.77706075,560.0,0.0020550704,1,session_3,3,5,004-2014,FgMDM
24,0.780625,0.76036316,0.61875,0.5587504,0.9704044,560.0,0.0025137693,1,session_4,3,5,004-2014,FgMDM
25,0.8719444,0.7686014,0.7416667,0.73502386,0.1977408,600.0,0.00059960154,1,session_0,3,5,004-2014,MDM
26,0.71666664,0.6339286,0.53333336,0.4254446,0.35872197,600.0,0.0009946628,1,session_1,3,5,004-2014,MDM
27,0.8871875,0.7725926,0.64375,0.5960133,0.53931904,560.0,0.0014223681,1,session_2,3,5,004-2014,MDM
28,0.86890626,0.746812,0.59375,0.51920855,0.7157123,560.0,0.0018778302,1,session_3,3,5,004-2014,MDM
29,0.75671875,0.74216896,0.64375,0.603461,0.88946414,560.0,0.002292655,1,session_4,3,5,004-2014,MDM
30,0.85888886,0.7291422,0.71666664,0.712757,0.59531665,600.0,0.001678278,1,session_0,3,5,004-2014,TANG+SVM
31,0.7375,0.72875816,0.6166667,0.5631529,1.1748819,600.0,0.0032735555,1,session_1,3,5,004-2014,TANG+SVM
32,0.8378125,0.7941176,0.65,0.6011396,1.7403922,560.0,0.0047953874,1,session_2,3,5,004-2014,TANG+SVM
33,0.8801563,0.7488889,0.63125,0.5818383,2.3156714,560.0,0.0063406313,1,session_3,3,5,004-2014,TANG+SVM
34,0.796875,0.75714284,0.6125,0.5490909,2.872423,560.0,0.007851317,1,session_4,3,5,004-2014,TANG+SVM
