,pipeline,score,std
0,ACM+MDM(Grid),0.8583495429166667,0.13648218090182757
1,ACM+TGSP+SVM(Grid),0.8627263802777778,0.13565778385883787
2,CSP+LDA,0.8285800920833333,0.14093010807452205
3,Cov+EN,0.8356922388888889,0.13786500987124137
4,DeepConvNet,0.7827736537500001,0.17552404129129037
5,EEGNet_8_2,0.7755743020833333,0.17825563186754184
6,FgMDM,0.82687766625,0.13760228823674708
7,MDM,0.8150789568055555,0.14607179125036365
8,ACM+MDM(MDOP),0.8402254138888889,0.14085721839943072
9,ACM+TGSP+SVM(MDOP),0.8436660659722223,0.13907157715644658
10,ShallowConvNet,0.7933762913888889,0.17960789343862985
11,TANG+SVM,0.8276269233333333,0.13855587169162362
