,pipeline,score,std
0,ACM+MDM(Grid),0.9363678666666667,0.03884338550544225
1,ACM+TGSP+SVM(Grid),0.927323361111111,0.05988499049455017
2,CSP+LDA,0.9213651666666666,0.07836466841338643
3,Cov+EN,0.9263125066666666,0.06977000253959005
4,DeepConvNet,0.938554388888889,0.07336779506548571
5,EEGNet_8_2,0.9498680555555556,0.04557125364731345
6,FgMDM,0.8947021388888889,0.08694329482476557
7,MDM,0.9165497255555556,0.05041606806077427
8,ACM+MDM(MDOP),0.9343889222222221,0.04354936655795863
9,ACM+TGSP+SVM(MDOP),0.9355126511111111,0.05058072411413768
10,ShallowConvNet,0.9438833066666668,0.06234028508507884
11,TANG+SVM,0.912259261111111,0.07160929841484351
