,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.88672316,0.84039545,0.84039545,0.84033614,93.12997,200.0,0.24957193,1,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,0.9728,0.8246753,0.73,0.70876926,198.67766,219.0,0.5320906,1,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,0.9912,0.86764705,0.82,0.8139727,293.87808,219.0,0.78823507,1,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,0.8618644,0.8244898,0.81440675,0.81353277,0.7383106,200.0,0.0017368916,1,session_0,14,3,Zhou 2016,Cov+EN
4,0.9416,0.75510204,0.52,0.37629938,1.4681392,219.0,0.0034652967,1,session_1,14,3,Zhou 2016,Cov+EN
5,0.9832,0.85052013,0.81,0.8043456,2.2794397,219.0,0.005333781,1,session_2,14,3,Zhou 2016,Cov+EN
6,0.8514124,0.78999436,0.7898305,0.7898566,3.3356109,200.0,0.009102251,1,session_0,14,3,Zhou 2016,CSP+LDA
7,0.9512,0.8333333,0.75,0.73333335,4.302225,219.0,0.01138838,1,session_1,14,3,Zhou 2016,CSP+LDA
8,0.9484,0.88244766,0.88,0.8798077,4.774738,219.0,0.012470257,1,session_2,14,3,Zhou 2016,CSP+LDA
9,0.90254235,0.8354774,0.8314972,0.8313492,490.2513,200.0,1.3371173,1,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,0.926,0.7431477,0.61,0.5481404,999.8656,219.0,2.7394772,1,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,0.9816,0.9141414,0.91,0.9097744,1519.7993,219.0,4.171816,1,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,0.870339,0.7737691,0.77330506,0.7730451,0.63907266,200.0,0.0016995508,1,session_0,14,3,Zhou 2016,FgMDM
13,0.8636,0.25,0.5,0.33333334,1.2734616,219.0,0.0033912193,1,session_1,14,3,Zhou 2016,FgMDM
14,0.966,0.90584415,0.9,0.8996387,1.9230316,219.0,0.005107387,1,session_2,14,3,Zhou 2016,FgMDM
15,0.85677963,0.801458,0.79788136,0.79761904,0.38468695,200.0,0.0009936737,1,session_0,14,3,Zhou 2016,MDM
16,0.948,0.7906977,0.64,0.58639705,0.6604786,219.0,0.0016112262,1,session_1,14,3,Zhou 2016,MDM
17,0.9784,0.82782906,0.77,0.75938904,0.9334233,219.0,0.0022312512,1,session_2,14,3,Zhou 2016,MDM
18,0.85903955,0.78560126,0.7549435,0.7492188,0.7441747,200.0,0.0017227638,1,session_0,14,3,Zhou 2016,TANG+SVM
19,0.9348,0.25,0.5,0.33333334,1.4598033,219.0,0.0033263944,1,session_1,14,3,Zhou 2016,TANG+SVM
20,0.9724,0.91050905,0.9,0.8993559,2.1839035,219.0,0.004943819,1,session_2,14,3,Zhou 2016,TANG+SVM
