,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.9959864,0.9676996,0.96428573,0.96484244,147.5839,144.0,2.8010283,1,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.99136055,0.9405815,0.9380952,0.9373159,146.6424,144.0,2.7907236,1,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,1.0,0.9875,0.98571426,0.98614097,0.41371387,144.0,0.0063845026,1,session_E,22,2,001-2014,Cov+EN
3,3,0.98727894,0.94553924,0.93857145,0.93682796,0.40400213,144.0,0.006088797,1,session_T,22,2,001-2014,Cov+EN
4,4,1.0,0.96865195,0.9647619,0.96507967,0.588745,144.0,0.008910432,1,session_E,22,2,001-2014,CSP+LDA
5,5,0.9861224,0.93541664,0.93142855,0.9298535,0.40692806,144.0,0.0059498027,1,session_T,22,2,001-2014,CSP+LDA
6,6,1.0,0.9770833,0.9714286,0.97197956,871.1238,144.0,16.935461,1,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.99714285,0.96166664,0.9590476,0.9580384,857.5812,144.0,16.702938,1,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,1.0,0.99375,0.99285716,0.9930705,0.11488094,144.0,0.0017991584,1,session_E,22,2,001-2014,FgMDM
9,9,0.98884356,0.9341071,0.93095237,0.9298535,0.11429568,144.0,0.0017742348,1,session_T,22,2,001-2014,FgMDM
10,10,0.9970068,0.9753186,0.9714286,0.9719762,0.061539076,144.0,0.0006863578,1,session_E,22,2,001-2014,MDM
11,11,0.9806122,0.9338212,0.9242857,0.92242575,0.062113665,144.0,0.0006643868,1,session_T,22,2,001-2014,MDM
12,12,1.0,0.9770833,0.9714286,0.97197956,0.4161481,144.0,0.0063414476,1,session_E,22,2,001-2014,TANG+SVM
13,13,0.9831973,0.94354343,0.9380952,0.936894,0.47881633,144.0,0.007083619,1,session_T,22,2,001-2014,TANG+SVM
0,0,0.9712925,0.91625726,0.9085714,0.9089953,152.9543,144.0,3.0445,2,session_E,22,2,001-2014,ACM+MDM(Grid)
