,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.9827891,0.9292577,0.9223809,0.9229292,91.86693,144.0,3.0313196,9,session_E,22,2,001-2014,ACM+MDM(Grid)
1,0.8778231,0.8278832,0.8104762,0.8091568,89.48394,144.0,2.9778256,9,session_T,22,2,001-2014,ACM+MDM(Grid)
2,0.99326533,0.9535434,0.9509524,0.9511539,0.44879025,144.0,0.009927301,9,session_E,22,2,001-2014,Cov+EN
3,0.8860544,0.83087176,0.8252381,0.8254025,0.48294845,144.0,0.014081155,9,session_T,22,2,001-2014,Cov+EN
4,0.9751701,0.930708,0.9223809,0.92253244,0.7402326,144.0,0.017384227,9,session_E,22,2,001-2014,CSP+LDA
5,0.87517005,0.8056432,0.7909524,0.7896927,0.68202513,144.0,0.019043643,9,session_T,22,2,001-2014,CSP+LDA
6,0.9942177,0.9472807,0.93714285,0.9365036,503.15448,144.0,16.907408,9,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,0.91979593,0.89287114,0.88857144,0.88862085,500.19818,144.0,16.73933,9,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,0.99333334,0.97041667,0.96428573,0.9648276,0.16571541,144.0,0.0050863503,9,session_E,22,2,001-2014,FgMDM
9,0.87564623,0.7863241,0.7842857,0.784318,0.4011751,144.0,0.011913299,9,session_T,22,2,001-2014,FgMDM
10,0.98564625,0.93049395,0.9223809,0.92308396,0.05868993,144.0,0.0015796294,9,session_E,22,2,001-2014,MDM
11,0.84591836,0.7665311,0.74714285,0.7440006,0.13004819,144.0,0.0035297666,9,session_T,22,2,001-2014,MDM
12,0.9885034,0.9414601,0.93666667,0.9370174,0.45434302,144.0,0.010165359,9,session_E,22,2,001-2014,TANG+SVM
13,0.90591836,0.8393573,0.83190477,0.83191687,0.49366292,144.0,0.014472255,9,session_T,22,2,001-2014,TANG+SVM
