,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2015,0,ACM+MDM(Grid),ACM+MDM(Grid),0.000244140625,0.0,12
1,001-2015,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.00048828125,0.9869127004852484,12
2,001-2015,2,CSP+LDA,ACM+MDM(Grid),0.990234375,-0.7220057972845348,12
3,001-2015,3,Cov+EN,ACM+MDM(Grid),0.033447265625,0.6205696325626284,12
4,001-2015,4,DeepConvNet,ACM+MDM(Grid),0.81982421875,-0.30699718619779864,12
5,001-2015,5,EEGNet_8_2,ACM+MDM(Grid),0.502685546875,-0.0030969130323619948,12
6,001-2015,6,FgMDM,ACM+MDM(Grid),0.434326171875,0.07123131171123112,12
7,001-2015,7,MDM,ACM+MDM(Grid),0.999267578125,-1.142431005444861,12
8,001-2015,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.99169921875,-0.758093640341639,12
9,001-2015,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.002197265625,0.9878860348095885,12
10,001-2015,10,ShallowConvNet,ACM+MDM(Grid),0.080810546875,0.4134072187063118,12
11,001-2015,11,TANG+SVM,ACM+MDM(Grid),0.130126953125,0.34497697848197845,12
12,001-2015,12,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.999755859375,-0.9869127004852484,12
13,001-2015,13,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.000244140625,0.0,12
14,001-2015,14,CSP+LDA,ACM+TGSP+SVM(Grid),0.999755859375,-1.1959409075815062,12
15,001-2015,15,Cov+EN,ACM+TGSP+SVM(Grid),0.999755859375,-1.1037139714378144,12
16,001-2015,16,DeepConvNet,ACM+TGSP+SVM(Grid),0.999755859375,-0.6428225790502318,12
17,001-2015,17,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.982177734375,-0.5299024026380176,12
18,001-2015,18,FgMDM,ACM+TGSP+SVM(Grid),0.998779296875,-0.9990675539055563,12
19,001-2015,19,MDM,ACM+TGSP+SVM(Grid),0.999755859375,-1.140104561577905,12
20,001-2015,20,ACM+MDM(MDOP),ACM+TGSP+SVM(Grid),0.99853515625,-0.9937126786208257,12
21,001-2015,21,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(Grid),0.974853515625,-0.653041465378224,12
