,pipeline,score,std
0,ACM+MDM(Grid),0.9000714285714286,0.11142558671894608
1,ACM+TGSP+SVM(Grid),0.9316071428571429,0.07945233338564252
2,CSP+LDA,0.8861249999999999,0.10731725423041519
3,Cov+EN,0.9133571428571429,0.08586206176649647
4,DeepConvNet,0.8810535714285714,0.13509126471236876
5,EEGNet_8_2,0.9011607142857143,0.11998696330199318
6,FgMDM,0.9028392857142856,0.09962132502366597
7,MDM,0.8615178571428571,0.13405633711676604
8,ACM+MDM(MDOP),0.8846296296296297,0.12424368058473709
9,ACM+TGSP+SVM(MDOP),0.9192222222222222,0.09091705151625991
10,ShallowConvNet,0.9135576923076923,0.11391008093431214
11,TANG+SVM,0.9088571428571429,0.08964806262421472
