,pipeline,score,std
0,ACM+MDM(Grid),0.9046075079710144,0.11126392955923017
1,ACM+TGSP+SVM(Grid),0.9389074414492754,0.07994016000739106
2,CSP+LDA,0.8933554198550725,0.10736360109136854
3,Cov+EN,0.9200127591304348,0.089964292907492
4,DeepConvNet,0.8904708186956521,0.1215499689286768
5,EEGNet_8_2,0.8919645736231884,0.13450134632218033
6,FgMDM,0.9099280818840579,0.09763058347207121
7,MDM,0.864911116231884,0.13032675830045562
8,ACM+MDM(MDOP),0.8825608302941177,0.13077690049103077
9,ACM+TGSP+SVM(MDOP),0.9128050572058823,0.10924421643469526
10,ShallowConvNet,0.9158133517910448,0.10554049380178912
11,TANG+SVM,0.9163045286956523,0.09170429581415203
