,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.9167929,0.864768,0.85833335,0.85706204,40.472145,119.0,0.7792684,1,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1,0.928,0.86706626,0.86,0.85862356,34.17049,100.0,0.6547284,1,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,2,0.868,0.87655675,0.86,0.85729414,33.91473,100.0,0.65354514,1,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.94848484,0.8700283,0.8666667,0.86591184,0.31620678,119.0,0.004884357,1,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.934,0.8689855,0.86,0.8585719,0.30216455,100.0,0.00448026,1,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.932,0.9060897,0.89,0.8885014,0.19026394,100.0,0.0029612985,1,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.85820705,0.8050183,0.7825758,0.77596587,0.5519027,119.0,0.008613554,1,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.924,0.87969255,0.87,0.8684967,0.30564332,100.0,0.004402053,1,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.908,0.8699495,0.86,0.85888964,0.32210916,100.0,0.004685079,1,session_2,14,3,Zhou 2016,CSP+LDA
9,9,0.9733586,0.92628205,0.925,0.9246087,233.87462,119.0,4.604252,1,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.952,0.9035897,0.89,0.8889054,191.66585,100.0,3.777153,1,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.95,0.92187256,0.91,0.9090072,192.15965,100.0,3.790207,1,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.94166666,0.85380954,0.85,0.8495338,0.15997009,119.0,0.0022615548,1,session_0,14,3,Zhou 2016,FgMDM
13,13,0.934,0.9074703,0.9,0.8987238,0.14580551,100.0,0.0020287388,1,session_1,14,3,Zhou 2016,FgMDM
14,14,0.914,0.86426073,0.84,0.83680964,0.14803119,100.0,0.0020950006,1,session_2,14,3,Zhou 2016,FgMDM
15,15,0.85656565,0.7952904,0.7818182,0.77884907,0.1342288,119.0,0.00184894,1,session_0,14,3,Zhou 2016,MDM
16,16,0.89,0.86706626,0.86,0.85862356,0.12624136,100.0,0.0017589793,1,session_1,14,3,Zhou 2016,MDM
17,17,0.856,0.83838385,0.83,0.8292701,0.12842861,100.0,0.0017844235,1,session_2,14,3,Zhou 2016,MDM
18,18,0.9385101,0.85110724,0.84924245,0.8490105,0.32361555,119.0,0.0049922196,1,session_0,14,3,Zhou 2016,TANG+SVM
19,19,0.938,0.8782784,0.87,0.8686471,0.20472507,100.0,0.0031826086,1,session_1,14,3,Zhou 2016,TANG+SVM
