,pipeline,score,std
0,ACM+MDM(Grid),0.9433935033333333,0.03640680276401099
1,ACM+TGSP+SVM(Grid),0.9746156044444443,0.018156944058188254
2,CSP+LDA,0.9387328222222222,0.04067823199425979
3,Cov+EN,0.9696498266666667,0.026284553264501163
4,DeepConvNet,0.9602481655555556,0.04167875184321113
5,EEGNet_8_2,0.9532992966666668,0.03063791013023896
6,FgMDM,0.95824579,0.028634025207655473
7,MDM,0.9235076722222222,0.048217026855711886
8,ACM+MDM(MDOP),0.9427476644444445,0.047165453686443
9,ACM+TGSP+SVM(MDOP),0.9665476888888889,0.033715854385453554
10,ShallowConvNet,0.9751301944444444,0.02023540057823241
11,TANG+SVM,0.9620970844444445,0.03051192967943323
