,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.964,0.92415583,0.91,0.90825814,33.9265,100.0,0.6333432,2,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,0.97283953,0.96181816,0.95555556,0.95520896,31.249641,90.0,0.5830501,2,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,0.988,0.9451515,0.94,0.93974787,34.32261,100.0,0.63482505,2,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,0.974,0.9094483,0.9,0.89918417,0.28735885,100.0,0.0042235935,2,session_0,14,3,Zhou 2016,Cov+EN
4,1.0,0.9818182,0.9777778,0.9775,0.18854003,90.0,0.0028673008,2,session_1,14,3,Zhou 2016,Cov+EN
5,0.982,0.9451515,0.94,0.93974787,0.17866397,100.0,0.0027000327,2,session_2,14,3,Zhou 2016,Cov+EN
6,0.938,0.9227273,0.9,0.8963895,0.52174056,100.0,0.007845552,2,session_0,14,3,Zhou 2016,CSP+LDA
7,0.9580247,0.96363634,0.95555556,0.955,0.31300983,90.0,0.0044162315,2,session_1,14,3,Zhou 2016,CSP+LDA
8,0.98,0.9727273,0.97,0.9699248,0.32045284,100.0,0.0044948994,2,session_2,14,3,Zhou 2016,CSP+LDA
9,0.978,0.9469697,0.94,0.93969774,195.83163,100.0,3.7376406,2,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,1.0,0.99,0.98888886,0.98885447,179.35245,90.0,3.4287887,2,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,0.984,0.95272726,0.95,0.9499248,192.2593,100.0,3.674557,2,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,0.948,0.9000966,0.89,0.88859695,0.14937921,100.0,0.0020349254,2,session_0,14,3,Zhou 2016,FgMDM
13,1.0,0.99,0.98888886,0.98885447,0.14438519,90.0,0.0018961813,2,session_1,14,3,Zhou 2016,FgMDM
14,0.976,0.9560606,0.95,0.94972277,0.14326453,100.0,0.0019194279,2,session_2,14,3,Zhou 2016,FgMDM
15,0.95,0.92415583,0.91,0.90825814,0.12849078,100.0,0.001727141,2,session_0,14,3,Zhou 2016,MDM
16,0.9851852,0.96181816,0.95555556,0.95520896,0.12771997,90.0,0.0017125919,2,session_1,14,3,Zhou 2016,MDM
17,0.98,0.95272726,0.95,0.9499248,0.1284186,100.0,0.0017532258,2,session_2,14,3,Zhou 2016,MDM
18,0.97,0.9187413,0.91,0.9092593,0.29821214,100.0,0.004392867,2,session_0,14,3,Zhou 2016,TANG+SVM
19,1.0,0.99,0.98888886,0.98885447,0.19562721,90.0,0.0029457032,2,session_1,14,3,Zhou 2016,TANG+SVM
20,0.968,0.95272726,0.95,0.9499248,0.20082402,100.0,0.0030354145,2,session_2,14,3,Zhou 2016,TANG+SVM
