,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.9992284,0.96753246,0.9652778,0.9652359,132.41653,144.0,1.68798,1,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.9816744,0.9136319,0.9097222,0.9095084,259.8824,144.0,3.3674543,1,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9996142,0.9235294,0.9097222,0.9089804,0.7776103,144.0,0.008548014,1,session_E,22,2,001-2014,Cov+EN
3,3,0.9820602,0.9142857,0.9027778,0.9020979,1.5880408,144.0,0.017531598,1,session_T,22,2,001-2014,Cov+EN
4,4,0.99382716,0.94167477,0.9375,0.93735194,3.1208446,144.0,0.03515873,1,session_E,22,2,001-2014,CSP+LDA
5,5,0.9774306,0.9390244,0.9305556,0.93021905,3.9144697,144.0,0.043865666,1,session_T,22,2,001-2014,CSP+LDA
6,6,0.9996142,0.96753246,0.9652778,0.9652359,522.39636,144.0,6.3729186,1,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.9936343,0.9444444,0.9375,0.9372549,1042.814,144.0,12.644857,1,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.9990355,0.9736842,0.9722222,0.97220075,0.7601781,144.0,0.009567399,1,session_E,22,2,001-2014,FgMDM
9,9,0.99112654,0.9235294,0.9097222,0.9089804,1.4881446,144.0,0.018765356,1,session_T,22,2,001-2014,FgMDM
10,10,0.9971065,0.9597523,0.9583333,0.9583012,0.36469746,144.0,0.0045332354,1,session_E,22,2,001-2014,MDM
11,11,0.9774306,0.9318885,0.9305556,0.93050194,0.70674634,144.0,0.008705168,1,session_T,22,2,001-2014,MDM
12,12,0.9982639,0.9285714,0.9166667,0.91608393,0.7277751,144.0,0.00795814,1,session_E,22,2,001-2014,TANG+SVM
13,13,0.9834105,0.94167477,0.9375,0.93735194,1.3894632,144.0,0.015148144,1,session_T,22,2,001-2014,TANG+SVM
0,0,0.9664352,0.9,0.8888889,0.8881119,179.47179,144.0,0.6949546,2,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.9845679,0.94582045,0.9444444,0.94440156,386.566,144.0,1.4891794,2,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9733796,0.8956044,0.8680556,0.86571777,0.7610295,144.0,0.0022348752,2,session_E,22,2,001-2014,Cov+EN
3,3,0.9832176,0.93826085,0.9375,0.9374729,1.5710146,144.0,0.004622618,2,session_T,22,2,001-2014,Cov+EN
4,4,0.9722222,0.8750766,0.8541667,0.85210544,2.1355765,144.0,0.006808304,2,session_E,22,2,001-2014,CSP+LDA
5,5,0.97415125,0.9195804,0.9166667,0.9165217,2.5788534,144.0,0.008064384,2,session_T,22,2,001-2014,CSP+LDA
6,6,0.97762346,0.8851852,0.8611111,0.8589065,1057.8837,144.0,4.203091,2,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.99151236,0.921875,0.9166667,0.91640866,2242.1846,144.0,5.8779626,2,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.96277004,0.859375,0.8194444,0.8142857,0.6385839,144.0,0.0020077603,2,session_E,22,2,001-2014,FgMDM
9,9,0.94888115,0.8681266,0.8680556,0.8680492,1.2327349,144.0,0.003926655,2,session_T,22,2,001-2014,FgMDM
10,10,0.9664352,0.9,0.8888889,0.8881119,0.3923869,144.0,0.0011931426,2,session_E,22,2,001-2014,MDM
11,11,0.9834105,0.9447876,0.9444444,0.94443375,0.7919252,144.0,0.0023278203,2,session_T,22,2,001-2014,MDM
