,pipeline,score,std
0,ACM+MDM(Grid),0.9082107142857143,0.09183857956091868
1,ACM+TGSP+SVM(Grid),0.9262142857142858,0.07130992198526775
2,CSP+LDA,0.8775464285714286,0.11440317427007332
3,Cov+EN,0.900925,0.09675674969277911
4,DeepConvNet,0.9006232142857142,0.1127383667991735
5,EEGNet_8_2,0.9037785714285714,0.11476085071636091
6,FgMDM,0.8958250000000001,0.09530844129184718
7,MDM,0.864725,0.12116714694998809
8,ACM+MDM(MDOP),0.893075,0.10613173025380612
9,ACM+TGSP+SVM(MDOP),0.919925,0.08798510237955476
10,ShallowConvNet,0.9182178571428572,0.09845849305416647
11,TANG+SVM,0.8840607142857142,0.11616084104406048
