,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.9952,0.9807692,0.98,0.979992,92.75792,200.0,0.25008336,1,session_A,13,2,001-2015,ACM+MDM(Grid)
1,0.9995,0.9716981,0.97,0.96997297,189.37538,200.0,0.5092565,1,session_B,13,2,001-2015,ACM+MDM(Grid)
2,0.9999,0.9854369,0.985,0.9849966,1.1350713,200.0,0.0026134008,1,session_A,13,2,001-2015,Cov+EN
3,0.9996,0.9854369,0.985,0.9849966,2.2882102,200.0,0.005286082,1,session_B,13,2,001-2015,Cov+EN
4,0.99,0.9716981,0.97,0.96997297,3.622592,200.0,0.009506042,1,session_A,13,2,001-2015,CSP+LDA
5,0.9993,0.98019207,0.98,0.979998,4.790555,200.0,0.012220503,1,session_B,13,2,001-2015,CSP+LDA
6,0.9998,0.9854369,0.985,0.9849966,554.9248,200.0,1.5230174,1,session_A,13,2,001-2015,ACM+TGSP+SVM(Grid)
7,0.9995,0.98504853,0.985,0.9849996,1102.4504,200.0,3.0324798,1,session_B,13,2,001-2015,ACM+TGSP+SVM(Grid)
8,0.9998,0.9854369,0.985,0.9849966,0.79343176,200.0,0.0020148547,1,session_A,13,2,001-2015,FgMDM
9,0.9998,0.98504853,0.985,0.9849996,1.5056162,200.0,0.0037802546,1,session_B,13,2,001-2015,FgMDM
10,0.9963,0.9807692,0.98,0.979992,0.50737834,200.0,0.0012095219,1,session_A,13,2,001-2015,MDM
11,0.9996,0.9716981,0.97,0.96997297,0.9032414,200.0,0.002023693,1,session_B,13,2,001-2015,MDM
12,0.9996,0.9854369,0.985,0.9849966,0.97197556,200.0,0.0021879592,1,session_A,13,2,001-2015,TANG+SVM
13,0.9995,0.98504853,0.985,0.9849996,1.8957567,200.0,0.004191997,1,session_B,13,2,001-2015,TANG+SVM
