,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,ACM+MDM(Grid),ACM+MDM(Grid),0.001953125,0.0,9
1,001-2014,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.001953125,0.9297687811220895,9
2,001-2014,2,CSP+LDA,ACM+MDM(Grid),0.951171875,-0.4715397691058638,9
3,001-2014,3,Cov+EN,ACM+MDM(Grid),0.537109375,-0.1172823082747589,9
4,001-2014,4,DeepConvNet,ACM+MDM(Grid),0.935546875,-0.5441629766012166,9
5,001-2014,5,EEGNet_8_2,ACM+MDM(Grid),0.947265625,-0.5351009936408039,9
6,001-2014,6,FgMDM,ACM+MDM(Grid),0.59765625,-0.1985240100216181,9
7,001-2014,7,MDM,ACM+MDM(Grid),0.970703125,-0.5958538486749924,9
8,001-2014,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.951171875,-0.44255466610019056,9
9,001-2014,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.55078125,-0.2428566867529946,9
10,001-2014,10,ShallowConvNet,ACM+MDM(Grid),0.818359375,-0.42150072819204926,9
11,001-2014,11,TANG+SVM,ACM+MDM(Grid),0.533203125,-0.10857194866023777,9
12,001-2014,12,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.998046875,-0.9297687811220895,9
13,001-2014,13,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.001953125,0.0,9
14,001-2014,14,CSP+LDA,ACM+TGSP+SVM(Grid),0.998046875,-0.6142663878807366,9
15,001-2014,15,Cov+EN,ACM+TGSP+SVM(Grid),0.984375,-0.5373568145272689,9
16,001-2014,16,DeepConvNet,ACM+TGSP+SVM(Grid),0.982421875,-0.6556175575189878,9
17,001-2014,17,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.98828125,-0.6417006585239291,9
18,001-2014,18,FgMDM,ACM+TGSP+SVM(Grid),0.998046875,-0.5884011292250094,9
19,001-2014,19,MDM,ACM+TGSP+SVM(Grid),0.998046875,-0.7521928471393369,9
20,001-2014,20,ACM+MDM(MDOP),ACM+TGSP+SVM(Grid),0.998046875,-0.7115758181882167,9
21,001-2014,21,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(Grid),0.998046875,-0.5722454420799967,9
22,001-2014,22,ShallowConvNet,ACM+TGSP+SVM(Grid),0.939453125,-0.5519500380941973,9
23,001-2014,23,TANG+SVM,ACM+TGSP+SVM(Grid),0.96484375,-0.4944027363685366,9
24,001-2014,24,ACM+MDM(Grid),CSP+LDA,0.05078125,0.4715397691058638,9
25,001-2014,25,ACM+TGSP+SVM(Grid),CSP+LDA,0.001953125,0.6142663878807366,9
26,001-2014,26,CSP+LDA,CSP+LDA,0.001953125,0.0,9
27,001-2014,27,Cov+EN,CSP+LDA,0.0078125,0.6577125134008998,9
28,001-2014,28,DeepConvNet,CSP+LDA,0.8359375,-0.3717698525557106,9
29,001-2014,29,EEGNet_8_2,CSP+LDA,0.939453125,-0.6213621053692002,9
30,001-2014,30,FgMDM,CSP+LDA,0.046875,0.5979583851539012,9
31,001-2014,31,MDM,CSP+LDA,0.44140625,0.1910812788361921,9
32,001-2014,32,ACM+MDM(MDOP),CSP+LDA,0.09375,0.478823937447869,9
33,001-2014,33,ACM+TGSP+SVM(MDOP),CSP+LDA,0.01171875,0.6446550826423143,9
34,001-2014,34,ShallowConvNet,CSP+LDA,0.251953125,0.20673608117453998,9
35,001-2014,35,TANG+SVM,CSP+LDA,0.021484375,0.6704749134493924,9
36,001-2014,36,ACM+MDM(Grid),Cov+EN,0.462890625,0.1172823082747589,9
