,pipeline,score,std
0,ACM+MDM(Grid),0.9260598365454545,0.07808834124226041
1,ACM+TGSP+SVM(Grid),0.9474821930909091,0.061475714161080726
2,CSP+LDA,0.8914064780000001,0.11536990438944693
3,Cov+EN,0.9212954890909091,0.08418714000963375
4,DeepConvNet,0.9027860774545454,0.11912737611682497
5,EEGNet_8_2,0.9042536292727272,0.12570828703806455
6,FgMDM,0.9158593243636364,0.08491211333480035
7,MDM,0.885757155090909,0.11230191028379048
8,ACM+MDM(MDOP),0.9101170207272727,0.09652194949547073
9,ACM+TGSP+SVM(MDOP),0.9304849561818183,0.08213854305288752
10,ShallowConvNet,0.9245670656363637,0.10305876099713722
11,TANG+SVM,0.9125863780000001,0.09765953285818095
