,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.879661,0.8138298,0.7083333,0.6797386,89.80899,200.0,0.34349206,1,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1,0.9596,0.8914091,0.89,0.8899009,188.64217,219.0,0.7248817,1,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,2,0.9076,0.7549781,0.71,0.696621,281.73367,219.0,1.082229,1,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.86327684,0.83908045,0.76666665,0.75193566,0.62144446,200.0,0.0018187353,1,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.9464,0.75510204,0.52,0.37629938,1.4282765,219.0,0.0041892836,1,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.932,0.8406593,0.81,0.8056266,2.204454,219.0,0.006462789,1,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.8480226,0.8105263,0.7,0.66883117,2.1866977,200.0,0.0070141493,1,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.9092,0.74366474,0.65,0.61278903,2.6605778,219.0,0.008416816,1,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.8816,0.83013207,0.83,0.829983,3.1199315,219.0,0.009729508,1,session_2,14,3,Zhou 2016,CSP+LDA
9,9,0.97062147,0.85542166,0.8,0.79049295,487.98633,200.0,1.923521,1,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.9868,0.8968254,0.87,0.86776525,1038.712,219.0,4.107521,1,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.9872,0.9301721,0.93,0.929993,1583.242,219.0,6.269775,1,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.83107346,0.7920792,0.65,0.59951925,0.40341353,200.0,0.0013324973,1,session_0,14,3,Zhou 2016,FgMDM
13,13,0.908,0.7688172,0.57,0.47245738,0.8700175,219.0,0.0028762873,1,session_1,14,3,Zhou 2016,FgMDM
14,14,0.9128,0.85014004,0.85,0.849985,1.4557805,219.0,0.0047856136,1,session_2,14,3,Zhou 2016,FgMDM
15,15,0.8220339,0.8105263,0.7,0.66883117,0.27129865,200.0,0.00084698654,1,session_0,14,3,Zhou 2016,MDM
16,16,0.8944,0.7971138,0.78,0.77678573,0.54610705,219.0,0.0016327141,1,session_1,14,3,Zhou 2016,MDM
17,17,0.8812,0.7387153,0.72,0.71440226,0.81492114,219.0,0.0024001948,1,session_2,14,3,Zhou 2016,MDM
18,18,0.8646893,0.7636842,0.64152545,0.592628,0.65180063,200.0,0.0018753837,1,session_0,14,3,Zhou 2016,TANG+SVM
19,19,0.94,0.7631579,0.55,0.4357367,1.3524632,219.0,0.0038497534,1,session_1,14,3,Zhou 2016,TANG+SVM
20,20,0.9072,0.81619745,0.81,0.8090644,2.042497,219.0,0.005804033,1,session_2,14,3,Zhou 2016,TANG+SVM
0,0,0.9572,0.9025765,0.9,0.89983976,89.17038,190.0,0.3350119,2,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1,1.0,1.0,1.0,1.0,178.77347,200.0,0.67358524,2,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,2,0.9864,0.95018005,0.95,0.949995,260.54044,190.0,0.983509,2,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.9528,0.9141414,0.91,0.9097744,0.71827245,190.0,0.002071983,2,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.9925926,0.96875,0.96666664,0.96662956,1.3718116,200.0,0.0039804988,2,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.9852,0.96073717,0.96,0.959984,2.0911005,190.0,0.0061006285,2,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.9452,0.9025765,0.9,0.89983976,2.167954,190.0,0.006916341,2,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.9718518,0.9591837,0.95555556,0.9554676,2.607262,200.0,0.008167163,2,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.9744,0.9716981,0.97,0.96997297,3.027391,190.0,0.009359778,2,session_2,14,3,Zhou 2016,CSP+LDA
9,9,0.9648,0.9025765,0.9,0.89983976,479.79102,190.0,1.8633319,2,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,1.0,0.9787234,0.9777778,0.9777668,979.00555,200.0,3.807417,2,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.9896,0.9716981,0.97,0.96997297,1449.833,190.0,5.6369553,2,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.976,0.8958333,0.88,0.8787879,0.38503075,190.0,0.0012036214,2,session_0,14,3,Zhou 2016,FgMDM
13,13,0.99901235,0.95,0.9444444,0.94427246,0.77601266,200.0,0.0024711965,2,session_1,14,3,Zhou 2016,FgMDM
14,14,0.9848,0.95018005,0.95,0.949995,1.2002842,190.0,0.0038369403,2,session_2,14,3,Zhou 2016,FgMDM
15,15,0.9304,0.8939394,0.89,0.8897243,0.2681229,190.0,0.00081048,2,session_0,14,3,Zhou 2016,MDM
16,16,0.9995062,0.98913044,0.98888886,0.9888875,0.51201534,200.0,0.001517103,2,session_1,14,3,Zhou 2016,MDM
17,17,0.9808,0.95018005,0.95,0.949995,0.771291,190.0,0.002260822,2,session_2,14,3,Zhou 2016,MDM
18,18,0.9732,0.9310345,0.92,0.9194847,0.6441524,190.0,0.0018806648,2,session_0,14,3,Zhou 2016,TANG+SVM
19,19,0.9911111,0.875,0.8333333,0.82857144,1.2557704,200.0,0.0036054237,2,session_1,14,3,Zhou 2016,TANG+SVM
20,20,0.9872,0.9141414,0.91,0.9097744,1.8751347,190.0,0.0053343084,2,session_2,14,3,Zhou 2016,TANG+SVM
0,0,0.998,0.9807692,0.98,0.979992,80.30708,201.0,0.31319577,3,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1,0.92156863,0.8203843,0.8007843,0.79864436,160.88387,200.0,0.6265435,3,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,2,0.9684,0.900641,0.9,0.89996,243.63452,201.0,0.948599,3,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.9912,0.96073717,0.96,0.959984,0.6838119,201.0,0.0021080114,3,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.967451,0.8836675,0.86019605,0.85905105,1.2521367,200.0,0.0038829953,3,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.9892,0.95018005,0.95,0.949995,1.9721601,201.0,0.006064795,3,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.9784,0.9206731,0.92,0.919968,2.096026,201.0,0.006917013,3,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.95843136,0.9044715,0.8901961,0.8900109,2.5360794,200.0,0.0082407985,3,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.9876,0.9407051,0.94,0.939976,2.9773662,201.0,0.0095303515,3,session_2,14,3,Zhou 2016,CSP+LDA
9,9,1.0,0.99019605,0.99,0.989999,501.46042,201.0,1.9914463,3,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.97294116,0.85249555,0.8101961,0.80571026,995.2389,200.0,3.9616413,3,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.9892,0.9206731,0.92,0.919968,1506.8594,201.0,6.0007434,3,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.9776,0.94,0.94,0.94,0.4436078,201.0,0.0014746228,3,session_0,14,3,Zhou 2016,FgMDM
13,13,0.96431375,0.8839431,0.87039214,0.8700129,0.8551941,200.0,0.0028947024,3,session_1,14,3,Zhou 2016,FgMDM
14,14,0.99,0.9181967,0.91,0.9095568,1.2695422,201.0,0.004327387,3,session_2,14,3,Zhou 2016,FgMDM
15,15,0.9976,0.9701881,0.97,0.969997,0.25831723,201.0,0.0008193269,3,session_0,14,3,Zhou 2016,MDM
16,16,0.8964706,0.84288615,0.8307843,0.83001685,0.51746583,200.0,0.0016011788,3,session_1,14,3,Zhou 2016,MDM
17,17,0.9588,0.880609,0.88,0.87995195,0.77694345,201.0,0.0023734001,3,session_2,14,3,Zhou 2016,MDM
18,18,0.982,0.9310345,0.92,0.9194847,0.66292715,201.0,0.00197362,3,session_0,14,3,Zhou 2016,TANG+SVM
19,19,0.9772549,0.85915494,0.8,0.79303277,1.3029628,200.0,0.0038261202,3,session_1,14,3,Zhou 2016,TANG+SVM
20,20,0.9924,0.93434346,0.93,0.9298246,1.9467988,201.0,0.0057256036,3,session_2,14,3,Zhou 2016,TANG+SVM
0,0,0.8440678,0.795,0.65833336,0.6115755,1122.2383,200.0,8.261229,1,session_0,14,3,Zhou 2016,ACM+MDM(MDOP)
1,1,0.9292,0.85353535,0.85,0.84962404,2324.476,219.0,11.040579,1,session_1,14,3,Zhou 2016,ACM+MDM(MDOP)
2,2,0.8952,0.7600633,0.73,0.7219648,3523.4253,219.0,13.805316,1,session_2,14,3,Zhou 2016,ACM+MDM(MDOP)
3,3,0.89322037,0.8206522,0.725,0.7010733,1137.4669,200.0,11.301671,1,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
4,4,0.9572,0.8035454,0.75,0.7384664,2344.606,219.0,14.092891,1,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
5,5,0.9272,0.880609,0.88,0.87995195,3545.2576,219.0,16.8603,1,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
0,0,0.9624,0.9141414,0.91,0.9097744,100.71859,190.0,0.29911864,2,session_0,14,3,Zhou 2016,ACM+MDM(MDOP)
1,1,1.0,1.0,1.0,1.0,205.56816,200.0,0.69835895,2,session_1,14,3,Zhou 2016,ACM+MDM(MDOP)
2,2,0.9912,0.9716981,0.97,0.96997297,305.31387,190.0,1.0889126,2,session_2,14,3,Zhou 2016,ACM+MDM(MDOP)
3,3,0.9764,0.9385965,0.93,0.9296553,110.06262,190.0,0.32432812,2,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
4,4,0.9995062,0.9787234,0.9777778,0.9777668,215.41837,200.0,0.7378771,2,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
5,5,0.9932,0.9716981,0.97,0.96997297,314.8785,190.0,1.1185198,2,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
0,0,1.0,0.9807692,0.98,0.979992,132.92154,201.0,1.3547282,3,session_0,14,3,Zhou 2016,ACM+MDM(MDOP)
1,1,0.9588235,0.89733607,0.8801961,0.87976193,249.17075,200.0,2.7992923,3,session_1,14,3,Zhou 2016,ACM+MDM(MDOP)
2,2,0.9924,0.91050905,0.9,0.8993559,363.802,201.0,4.211877,3,session_2,14,3,Zhou 2016,ACM+MDM(MDOP)
3,3,0.9996,0.9807692,0.98,0.979992,127.2224,201.0,1.1664051,3,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
4,4,0.9941176,0.880597,0.84,0.8369653,241.31396,200.0,2.3562808,3,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
5,5,0.9916,0.9301721,0.93,0.929993,355.7431,201.0,3.6130242,3,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
0,0,0.9403955,0.8585507,0.84943503,0.84786934,51.367844,200.0,0.3201411,1,session_0,14,3,Zhou 2016,EEGNet_8_2
