,pipeline,score,std
0,ACM+MDM(Grid),0.9531588477777778,0.04194548969723732
1,ACM+TGSP+SVM(Grid),0.9845736255555555,0.012527178406392168
2,CSP+LDA,0.9394117511111111,0.048888776798274615
3,Cov+EN,0.9577911600000001,0.041700080768559654
4,DeepConvNet,0.9697060555555557,0.026188810398019232
5,EEGNet_8_2,0.9775490233333333,0.018026246080636125
6,FgMDM,0.94928884,0.05493485240610712
7,MDM,0.9290234111111112,0.06044856048667425
8,ACM+MDM(MDOP),0.9525879222222221,0.0539951954763518
9,ACM+TGSP+SVM(MDOP),0.97022713,0.03752419512595305
10,ShallowConvNet,0.9896134111111111,0.01000426952533323
11,TANG+SVM,0.9572283666666667,0.04460423759254828
