,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.9572,0.9025765,0.9,0.89983976,89.17038,190.0,0.3350119,2,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1.0,1.0,1.0,1.0,178.77347,200.0,0.67358524,2,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,0.9864,0.95018005,0.95,0.949995,260.54044,190.0,0.983509,2,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,0.9528,0.9141414,0.91,0.9097744,0.71827245,190.0,0.002071983,2,session_0,14,3,Zhou 2016,Cov+EN
4,0.9925926,0.96875,0.96666664,0.96662956,1.3718116,200.0,0.0039804988,2,session_1,14,3,Zhou 2016,Cov+EN
5,0.9852,0.96073717,0.96,0.959984,2.0911005,190.0,0.0061006285,2,session_2,14,3,Zhou 2016,Cov+EN
6,0.9452,0.9025765,0.9,0.89983976,2.167954,190.0,0.006916341,2,session_0,14,3,Zhou 2016,CSP+LDA
7,0.9718518,0.9591837,0.95555556,0.9554676,2.607262,200.0,0.008167163,2,session_1,14,3,Zhou 2016,CSP+LDA
8,0.9744,0.9716981,0.97,0.96997297,3.027391,190.0,0.009359778,2,session_2,14,3,Zhou 2016,CSP+LDA
9,0.9648,0.9025765,0.9,0.89983976,479.79102,190.0,1.8633319,2,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,1.0,0.9787234,0.9777778,0.9777668,979.00555,200.0,3.807417,2,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,0.9896,0.9716981,0.97,0.96997297,1449.833,190.0,5.6369553,2,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,0.976,0.8958333,0.88,0.8787879,0.38503075,190.0,0.0012036214,2,session_0,14,3,Zhou 2016,FgMDM
13,0.99901235,0.95,0.9444444,0.94427246,0.77601266,200.0,0.0024711965,2,session_1,14,3,Zhou 2016,FgMDM
14,0.9848,0.95018005,0.95,0.949995,1.2002842,190.0,0.0038369403,2,session_2,14,3,Zhou 2016,FgMDM
15,0.9304,0.8939394,0.89,0.8897243,0.2681229,190.0,0.00081048,2,session_0,14,3,Zhou 2016,MDM
16,0.9995062,0.98913044,0.98888886,0.9888875,0.51201534,200.0,0.001517103,2,session_1,14,3,Zhou 2016,MDM
17,0.9808,0.95018005,0.95,0.949995,0.771291,190.0,0.002260822,2,session_2,14,3,Zhou 2016,MDM
18,0.9732,0.9310345,0.92,0.9194847,0.6441524,190.0,0.0018806648,2,session_0,14,3,Zhou 2016,TANG+SVM
19,0.9911111,0.875,0.8333333,0.82857144,1.2557704,200.0,0.0036054237,2,session_1,14,3,Zhou 2016,TANG+SVM
20,0.9872,0.9141414,0.91,0.9097744,1.8751347,190.0,0.0053343084,2,session_2,14,3,Zhou 2016,TANG+SVM
